dummy,LGN,HCL,SLD,GSL,GDO,LPG,KRS,RFO,OLQ,NGS,OGS,BMSWAS
RAS,4.15330622,3.941453651,4.438008647,2.872144882,3.068924588,2.612562612,2.964253636,3.207089028,3.207089028,2.336234395,3.207089028,0
MAR,4.15330622,3.941453651,4.438008647,2.872144882,3.068924588,2.612562612,2.964253636,3.207089028,3.207089028,2.336234395,3.207089028,0
