dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SAU,IS,HCL,0.17997,0.18538,0.15755,0.165,0.18244,0.1662,0.12235,0.15635,0.17374,0.16965,0.15207,0.15207
SVK,IS,HCL,2.5019,2.297,2.4257,2.4662,2.5787,2.4144,2.4822,2.5794,2.5934,2.0805,1.7761,1.7761
SVN,IS,HCL,0.008,0.009,0.008,0.008,0.009,0.008,0.008,0.0087,0.0089,0.0082,0.0066,0.0066
ZAF,IS,HCL,7.4289,5.7678,6.1204,7.438,6.1379,5.4436,5.443,5.6911,5.8466,5.3108,5.3108,5.3108
ESP,IS,HCL,1.5202,1.8814,1.5527,2.0906,1.6793,1.722,1.642,1.9223,1.6549,1.5534,1.3302,1.3302
SWE,IS,HCL,1.6361,1.5311,1.3812,1.4409,1.4345,1.4158,1.4963,1.4723,1.3948,1.5095,1.3465,1.3465
TUN,IS,HCL,0,0,0,0,0,0,0,0,0,0,0,0
TUR,IS,HCL,4.8214,4.546,4.7914,4.5452,4.449,4.8814,5.2182,5.7195,5.6367,5.1079,5.2925,5.2925
GBR,IS,HCL,3.3461,3.0551,3.2458,4.1274,4.125,3.9261,2.8239,2.648,2.395,2.5326,2.5555,2.5555
USA,IS,HCL,13.3889,14.1261,13.0297,12.4726,12.1613,10.2981,10.9101,10.8327,11.7689,10.8078,8.6883,8.6883
RAS,IS,GDO,0.1775875,0.2200375,0.2805125,0.273575,0.2462875,0.2998625,0.175,0.1844375,0.132675,0.1063625,0.0898625000000001,0.0898625000000001
RWO,IS,GDO,0.292171428571429,0.223571428571429,0.300542857142857,0.191442857142857,0.198628571428571,0.104628571428571,0.0803142857142857,0.0743571428571429,0.0578285714285714,0.138542857142857,0.131485714285714,0.131485714285714
REU,IS,GDO,0.20406380952381,0.187317142857143,0.188894285714286,0.165480952380952,0.140949523809524,0.123742857142857,0.0691580952380952,0.0832190476190476,0.0988161904761905,0.111020952380952,0.0927819047619048,0.0927819047619048
REP,IS,GDO,0.0434571428571429,0.0358571428571429,0.0432142857142857,0.0309142857142857,0.0302428571428571,0.0202428571428571,0.0131714285714286,0.0138857142857143,0.0137428571428571,0.245314285714286,0.232228571428571,0.232228571428571
RAF,IS,GDO,0,0,0,0,0,0,0.0221428571428571,0.0528285714285714,0.0821142857142857,0.179371428571429,0.180242857142857,0.180242857142857
RLA,IS,GDO,0.105242857142857,0.137396428571429,0.0941142857142857,0.0931714285714285,0.098725,0.0624678571428572,0.0928071428571429,0.0776964285714286,0.0735214285714286,0.0720142857142857,0.0721035714285714,0.0802285714285714
ARG,IS,GDO,0.00288571428571429,0.00396785714285714,0.00322857142857143,0.00294285714285714,0.003125,0.00221071428571429,0.00276428571428571,0.00236785714285714,0.00229285714285714,0.00222857142857143,0.00223214285714286,0.00255714285714286
OCE,IS,GDO,0.0324125,0.0397625,0.0496875,0.048125,0.0445125,0.0507375,0.0329,0.0331625,0.027925,0.0255375,0.0239375,0.0239375
AUT,IS,GDO,3e-04,3e-04,3e-04,2e-04,2e-04,0.0011,0.0011,0.0011,8e-04,0.0013,7e-04,7e-04
BEL,IS,GDO,0.0122,0.0122,0.0122,0.0132,0.0112,0.0122,0.0102,0.0105,0.0104,0.0103,0.0094,0.0094
BRA,IS,GDO,0.0151,0.0414,0.0434,0.0414,0.0404,0.0323,0.0293,0.0305,0.0307,0.0338,0.0339,0.043
BGR,IS,GDO,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0
CAN,IS,GDO,0,0,0,0,0,0,0,0,0,0,0,0
CHA,IS,GDO,4.0392,3.4068,3.6476,3.2844,3.052,2.758,2.444,2.4444,2.0732,2.1432,1.6708,1.6708
HRV,IS,GDO,0,0,0,0,0,0,0,0,1e-04,0,1e-04,1e-04
CYP,IS,GDO,0,0,0,0,0,0,0,0,0,0,0,0
CZE,IS,GDO,0,0,0,0,0,0,0,0,0,0,0,0
DNK,IS,GDO,0.001,0.001,0.001,0.001,0.001,0.0011,0.0012,0.001,0.0015,0.0015,0.0015,0.0015
EGY,IS,GDO,0,0,0,0,0,0,0,0,0,0.0186,0.0177,0.0177
EST,IS,GDO,0.00521935483870968,0.00480645161290323,0.0043,0.00406451612903226,0.00375806451612903,0.00559032258064516,0.00404516129032258,0.00437741935483871,0.00330967741935484,0.00319032258064516,0.00269677419354839,0.00269677419354839
FIN,IS,GDO,0.0082,0.0031,0.0041,0.0031,0.0031,0.0031,0.0021,0.0031,0.0021,0.0082,0.0021,0.0021
FRA,IS,GDO,0.0061,0.0254,0.0204,0.0183,0.0173,0.0183,0.0292,0.035,0.0143,0.0088,0.0081,0.0081
DEU,IS,GDO,0.0307,0.0205,0.0225,0.0205,0.0197,0.0808,0.0216,0.0226,0.0103,0.0103,0.0092,0.0092
GRC,IS,GDO,0.001,0,0.0041,0.0051,0.0071,0.0031,0.0031,0.0036,0.0019,0.0016,0.0015,0.0015
HUN,IS,GDO,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001
NSI,IS,GDO,0.0162,0.0154,0.012,0.0116,0.0085,0.0107,0.0096,0.009,0.0076,0.0081,0.0109,0.0109
IND,IS,GDO,0.3206,0.363,0.3206,0.2017,0.1986,0.2037,0.1841,0.2147,0.2233,0.2058,0.2112,0.2112
IDN,IS,GDO,0.1706,0.2234,0.2968,0.2803,0.2534,0.3082,0.1655,0.151,0.1122,0.0787,0.0787,0.0787
IRN,IS,GDO,0,0,0,0,0,0,0,0,0,0.0186,0.0177,0.0177
IRL,IS,GDO,0,0,0,0,0,0,0,0,0,0,0,0
ISR,IS,GDO,0,0,0,0,0,0,0,0,0,0.0186,0.0177,0.0177
ITA,IS,GDO,0.0203,0.0163,0.0112,0.0132,0.0153,0.0142,0.0122,0.0122,0.0122,0.0116,0.011,0.011
JPN,IS,GDO,0.3683,0.3429,0.3287,0.3348,0.2859,0.2574,0.2595,0.2551,0.2554,0.2208,0.2158,0.2158
KOR,IS,GDO,0.0077375,0.00985416666666667,0.0128291666666667,0.0123083333333333,0.0111041666666667,0.0135125,0.00756666666666667,0.00745416666666667,0.00544166666666667,0.0041125,0.00374583333333333,0.00374583333333333
LVA,IS,GDO,0,0,0,0,0,0,0,0,0,0,0,0
