dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WHCL,171.8071948,151.1696357,146.7239015,118.0362679,115.0914293,136.1158595,103.6546795,100.2548166,95.17325355,82.99091322,76.49958496,85.4389941,74.29061111,83.84073981,132.2830054,133.0269642,126.9485532,174.3412736,273.3365878,127.8722472,167.0435108,216.3563046,160.8206512,140.7737636,127.5940241,94.64695954,97.77835187,135.6833014,143.7380035,95.00904174,99.08204752,102.3954918,105.7936398,109.5714229,113.4343117,118.3636147,119.8657214,121.4054323,122.9929568,124.6106595,126.2221295,129.5395187,132.1763369,134.3161438,136.139769,137.9380376,140.0091515,141.7022157,143.1975712,144.8105843,146.5616364,148.5680592,150.4543043,152.0481225,153.0697922,153.7080618,154.1140205,154.498647,154.4825764,154.2538309,154.0221104,153.8997024,153.7338668,153.5680313,153.4021958,153.2363603,153.0705248,152.9046892,152.7388537,152.5730182,152.4071827,152.2413472,152.0755117,151.9096761,151.7438406,151.5780051,151.4121696,151.2463341,151.0804985,150.914663,150.7488275,150.582992,150.4171565,150.2513209,150.0854854,149.9196499,149.7538144,149.5879789,149.4221433,149.2563078,149.0904723
WCOKE,178.5185612,161.3845339,163.7549428,145.1222506,156.6962173,163.7188418,125.1520682,114.1680364,121.0498824,107.9039905,92.74302564,93.12042338,113.411507,101.6395478,160.4011242,162.9517744,156.9330949,217.0155476,340.5411465,158.2557688,207.1498922,268.8078258,200.9992741,175.7222067,158.7971799,118.0107012,123.0112199,168.0954824,178.3472807,118.0768565,123.265052,127.4448155,131.6731952,136.3653713,141.2289831,147.4078165,149.303769,151.184825,153.135652,155.1545003,157.1453014,161.154467,164.483678,167.1814871,169.4697122,171.7156352,174.2963343,176.4067444,178.2721922,180.2793623,182.4546037,184.9450592,187.2884451,189.2696682,190.5380206,191.3302043,191.8433121,192.3263834,192.3080926,192.0236847,191.7350069,191.5836576,191.3778039,191.1719501,190.9660964,190.7602427,190.554389,190.3485352,190.1426815,189.9368278,189.730974,189.5251203,189.3192666,189.1134129,188.9075591,188.7017054,188.4958517,188.289998,188.0841442,187.8782905,187.6724368,187.4665831,187.2607293,187.0548756,186.8490219,186.6431682,186.4373144,186.2314607,186.025607,185.8197532,185.6138995
WCRO,304.135956,246.0125659,230.6301171,196.782922,178.7338549,187.0309667,220.7015772,199.2122772,130.6502782,180.6811892,276.9956769,232.3169432,234.2288102,264.5906485,341.776452,471.7905869,546.9118425,591.9834412,780.0397098,490.9043979,625.1490389,857.216003,845.2269599,810.3608827,725.2346595,377.184664,308.1076553,374.8515203,482.8730827,428.2257983,458.115666,486.2256133,514.2124664,542.3624222,571.0658403,591.4719971,609.5921166,628.1270952,646.9333246,665.8473412,681.1632548,696.5237827,711.2328313,721.9119519,732.3137872,742.840088,749.9963202,757.2892209,764.5945367,771.9016148,784.1252956,788.4355093,792.565828,796.4441781,799.9601619,802.9967237,805.5866767,807.7744433,809.6602149,811.3340639,812.9187561,814.6985664,816.4092451,818.1199239,819.8306026,821.5412814,823.2519601,824.9626388,826.6733176,828.3839963,830.0946751,831.8053538,833.5160325,835.2267113,836.93739,838.6480688,840.3587475,842.0694262,843.780105,845.4907837,847.2014625,848.9121412,850.6228199,852.3334987,854.0441774,855.7548562,857.4655349,859.1762137,860.8868924,862.5975711,864.3082499
WNGS,221.1413933,239.4589032,201.5303198,179.7794338,155.005292,159.5186604,158.9012995,169.3252153,142.2015316,110.8306654,193.5683147,241.6640596,198.4385387,247.4146193,249.5506393,315.4678721,380.5486982,357.1056279,518.8636852,369.1043181,394.9888128,482.3825631,525.1218928,527.5438446,479.9739765,326.7288676,211.4377694,263.8850958,333.69589,272.519127,284.8324516,295.8835546,305.667052,313.2932137,324.1493872,336.3664968,338.6759384,342.327869,348.4781442,354.3814416,358.3067625,364.0008029,368.7272416,371.3502172,373.6709657,375.6593584,378.1134276,381.0848094,384.6609024,388.6215317,392.1263079,394.9426374,398.7597468,402.7327364,406.8850976,410.6034642,414.4981112,418.3522816,422.2184916,425.9008837,428.7859756,432.5602767,436.0586241,439.5569715,443.0553189,446.5536663,450.0520138,453.5503612,457.0487086,460.547056,464.0454034,467.5437509,471.0420983,474.5404457,478.0387931,481.5371405,485.0354879,488.5338354,492.0321828,495.5305302,499.0288776,502.527225,506.0255724,509.5239199,513.0222673,516.5206147,520.0189621,523.5173095,527.0156569,530.5140044,534.0123518
WLGN,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1306.331237,1367.98917,1300.180619,1274.903551,1257.978524,1217.192046,1222.192564,1267.276827,1277.528625,1217.258201,1222.446396,1226.62616,1230.85454,1235.546716,1240.410328,1246.589161,1248.485113,1250.366169,1252.316997,1254.335845,1256.326646,1260.335811,1263.665023,1266.362832,1268.651057,1270.89698,1273.477679,1275.588089,1277.453537,1279.460707,1281.635948,1284.126404,1286.46979,1288.451013,1289.719365,1290.511549,1291.024657,1291.507728,1291.489437,1291.205029,1290.916351,1290.765002,1290.559148,1290.353295,1290.147441,1289.941587,1289.735733,1289.52988,1289.324026,1289.118172,1288.912319,1288.706465,1288.500611,1288.294757,1288.088904,1287.88305,1287.677196,1287.471342,1287.265489,1287.059635,1286.853781,1286.647928,1286.442074,1286.23622,1286.030366,1285.824513,1285.618659,1285.412805,1285.206951,1285.001098,1284.795244
WGSL,394.7045469,329.7586031,285.8774168,242.2123623,215.8444008,221.6410862,253.3451859,247.2989365,178.0459562,219.4308861,352.3897763,285.3927058,273.9456583,327.1038697,430.1153564,555.4170087,623.8761517,681.365542,801.5150186,555.3334821,687.2969664,896.3703162,926.9887698,868.1361265,790.4867418,484.5816,385.6368451,457.9675007,535.4759046,474.8755003,508.0214852,539.1936504,570.2293117,601.4458437,633.2761306,655.9052762,675.9993501,696.5534766,717.4084032,738.382859,755.3672447,772.4011049,788.7125155,800.5549892,812.0899708,823.7629769,831.6987887,839.7861573,847.8872935,855.9903839,869.5456777,874.3254339,878.9056978,883.2065443,887.1055494,890.4729057,893.3450007,895.7710964,897.8622987,899.718492,901.475816,903.4495138,905.346549,907.2435843,909.1406195,911.0376547,912.9346899,914.8317252,916.7287604,918.6257956,920.5228308,922.4198661,924.3169013,926.2139365,928.1109717,930.0080069,931.9050422,933.8020774,935.6991126,937.5961478,939.4931831,941.3902183,943.2872535,945.1842887,947.0813239,948.9783592,950.8753944,952.7724296,954.6694648,956.5665001,958.4635353
WGDO,220.4839076,167.3676069,166.7504387,155.2271902,155.8657806,168.2666425,187.3923804,160.1228719,112.0447626,144.963979,230.1011374,176.3904748,200.7126605,234.9790826,228.0886223,348.4283328,393.570151,445.4667364,632.9661237,444.8888312,566.5745684,769.6680373,789.6726803,714.3834679,632.9163263,295.2792,243.4295261,339.1323262,429.7414867,381.1071642,407.7081835,432.725131,457.6325286,482.6850823,508.2301996,526.3910218,542.5173444,559.0128782,575.7498165,592.5826819,606.2133515,619.8837265,632.9743059,642.4783792,651.7356775,661.103746,667.4725621,673.9630088,680.4645045,686.9675686,697.8462507,701.682202,705.3580526,708.8096592,711.9387715,714.6412138,716.9461884,718.8932302,720.5715062,722.0611779,723.4715029,725.0554767,726.5779257,728.1003747,729.6228236,731.1452726,732.6677216,734.1901705,735.7126195,737.2350684,738.7575174,740.2799664,741.8024153,743.3248643,744.8473133,746.3697622,747.8922112,749.4146602,750.9371091,752.4595581,753.9820071,755.504456,757.026905,758.549354,760.0718029,761.5942519,763.1167009,764.6391498,766.1615988,767.6840478,769.2064967
WRFO,175.6032474,132.2290139,135.2178317,105.5834621,133.9471552,149.5786499,159.9898235,134.8435622,90.21008645,129.4446236,190.6563467,146.1562095,176.9985802,192.5876607,190.9022103,292.2484212,360.1585788,416.8060574,560.7205999,417.8282734,532.970457,724.7118849,733.5593767,677.6881989,589.8155411,272.5488,217.7080803,317.5898401,415.5085303,368.4849673,394.2049658,418.3933568,442.4758261,466.698644,491.3977119,508.9570511,524.5492729,540.4984778,556.6810918,572.9564559,586.1356804,599.3532952,612.010317,621.1996172,630.1503155,639.2081154,645.3659976,651.6414818,657.9276493,664.2153332,674.7337153,678.4426206,681.9967278,685.3340179,688.3594945,690.9724324,693.2010667,695.0836229,696.7063147,698.1466487,699.510264,701.0417769,702.5138027,703.9858284,705.4578542,706.9298799,708.4019057,709.8739314,711.3459572,712.8179829,714.2900087,715.7620344,717.2340601,718.7060859,720.1781116,721.6501374,723.1221631,724.5941889,726.0662146,727.5382404,729.0102661,730.4822918,731.9543176,733.4263433,734.8983691,736.3703948,737.8424206,739.3144463,740.7864721,742.2584978,743.7305235
