dummy,dummy,2015,2016,2017,2018,2019,2020,2021
CAN,KM_VEH_TRUCK,106251.5,106251.5,107056,107510.5,106567.5,99016.5,99626
CHA,KM_VEH_TRUCK,48211.5,48211.5,48913,48525,49004,47675,48061
HRV,KM_VEH_TRUCK,19360,19360,19905,20310,20840,16810,19780
CYP,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
CZE,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
DNK,KM_VEH_TRUCK,39858,39858,40568,41222,41883,38704,40313
EGY,KM_VEH_TRUCK,45550.3333333333,45550.3333333333,46297.6666666667,46838.6666666667,47526.3333333333,45041.6666666667,47693
EST,KM_VEH_TRUCK,8670,8670,8876,8924,9397,9263,9393
FIN,KM_VEH_TRUCK,30416,30416,30740,30923,30943,28613,28986
FRA,KM_VEH_TRUCK,483114,483114,486589,486597,485747,392000,435000
DEU,KM_VEH_TRUCK,649600,649600,642800,642200,644800,578100,582400
GRC,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
HUN,KM_VEH_TRUCK,28333,28333,30245,31578,32936,28903,32284
NSI,KM_VEH_TRUCK,47610.9,47610.9,49092.8,50824.5,50417.55,47267.1,50434.7
IND,KM_VEH_TRUCK,117588.307373272,117588.307373272,120610.698387097,121195.482315668,123726.774251152,117801.550345622,124019.571140553
IDN,KM_VEH_TRUCK,328812,328812,338753,342556,354400,351000,368562
IRN,KM_VEH_TRUCK,45550.3333333333,45550.3333333333,46297.6666666667,46838.6666666667,47526.3333333333,45041.6666666667,47693
IRL,KM_VEH_TRUCK,37488,37488,38039,36817,36301,26654,30677
ISR,KM_VEH_TRUCK,45716,45716,47958,49581,51644,44190,52144
ITA,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
JPN,KM_VEH_TRUCK,479611,479611,479611,479611,479611,479611,479611
KOR,KM_VEH_TRUCK,328812,328812,338753,342556,354400,351000,368562
LVA,KM_VEH_TRUCK,9928,9928,10699,10898,11072,10554,8834
LTU,KM_VEH_TRUCK,8976,8976,9404,9696,9987,9448,9678
LUX,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
MLT,KM_VEH_TRUCK,2682,2682,2744,2622,2408,1879,2290
MEX,KM_VEH_TRUCK,130846,130846,136500,136500,136500,136500,136500
MAR,KM_VEH_TRUCK,45550.3333333333,45550.3333333333,46297.6666666667,46838.6666666667,47526.3333333333,45041.6666666667,47693
NLD,KM_VEH_TRUCK,107708,107708,108936,109337,109087,91723,95940
NGA,KM_VEH_TRUCK,1013.33333333333,1013.33333333333,1105.33333333333,977,1008.33333333333,1039.33333333333,1039.33333333333
POL,KM_VEH_TRUCK,187079,187079,194294,199660,203733,186775,203263
PRT,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
ROU,KM_VEH_TRUCK,40948,40948,42133,43354,44613,45911,47249
RUS,KM_VEH_TRUCK,16978.4,16978.4,17689.6,17757.2,17401,19470.4,19295.6
SAU,KM_VEH_TRUCK,85568,85568,85568,85568,85568,85568,85568
SVK,KM_VEH_TRUCK,119303.05,119303.05,120383.6,121014,121706.8,103539.55,110689.85
SVN,KM_VEH_TRUCK,11308,11308,11606,11798,12076,9352,10859
ZAF,KM_VEH_TRUCK,1013.33333333333,1013.33333333333,1105.33333333333,977,1008.33333333333,1039.33333333333,1039.33333333333
ESP,KM_VEH_TRUCK,98643,98643,100303,103331,103694,76667,95941
SWE,KM_VEH_TRUCK,67392,67392,68305,68639,67816,62162,63913
TUN,KM_VEH_TRUCK,5367,5367,5367,5367,5367,5367,5367
TUR,KM_VEH_TRUCK,148456,148456,157754,170801,166605,163402,178832
GBR,KM_VEH_TRUCK,410100,410100,415100,417000,423100,317600,356200
USA,KM_VEH_TRUCK,3527294,3527294,3574023,3592993,3627959,3052193,3361236
