*CTHLGN,35
*CTHHCL,35
*CTHRFO,30
*CTHNGS,25
CTHBMSWAS,30
ATHLGN,35
ATHHCL,35
ATHRFO,30
ATHNGS,25
ATHBMSWAS,35
SUPCRL,35
SUPCR,35
FBCLGN,35
FBCHCL,35
IGCCLGN,30
IGCCHCL,30
IGCCBMS,30
CCCGT,25
ACCGT,25
*ACCHT,15
*CGTGDO,15
*CGTNGS,15
AGTGDO,15
AGTNGS,15
*ICEH2,20
*FC1,15
*FC2,15
*PGNUC,50
PGLHYD,70
PGSHYD,50
PGWND,25
PGSOL,25
*PGOTHREN,35
PGASHYD,50
PGAWND,25
PGASOL,25
PGANUC,100
PGAPSS,35
PGAPSSL,35
PGACGS,30
PGACGSL,30
PGAGGS,25
PGAWNO,25
PGADPV,25
PGAOTHREN,35
