dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SUPCRL,4.157970589,4.014954513,2.695121951,3.622682351,3.444252938,3.25401908,3.440318123,3.379530047,3.35795575,3.392601307,3.376695701,3.37575092,3.381682643,3.378043088,3.378492217,3.379405982,3.378647096,3.378848432,3.37896717,3.378820899,3.378878834,3.378888967,3.3788629,3.3788769,3.378876256,3.378872019,3.378875058,3.378874444,3.37887384,3.378874448,3.378874244,3.378874177,3.37887429,3.378874237,3.378874235,3.378874254,3.378874242,3.378874244,3.378874246,3.378874244,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245
SUPCR,3.631643158,3.511638761,3.345934959,3.496405626,3.451326449,3.431222345,3.459651473,3.447400089,3.446091302,3.451047621,3.448179671,3.448439531,3.449222275,3.448613826,3.448758544,3.448864881,3.44874575,3.448789725,3.448800119,3.448778531,3.448789458,3.44878937,3.448785786,3.448788205,3.448787787,3.448787259,3.44878775,3.448787599,3.448787536,3.448787629,3.448787588,3.448787584,3.4487876,3.448787591,3.448787592,3.448787594,3.448787592,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593
FBCLGN,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747,4.404064747
FBCHCL,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055,2.833812055
IGCCLGN,5.160968299,4.960140312,4.604166667,4.908425093,4.824244024,4.778945261,4.837204793,4.813464692,4.809871582,4.820180356,4.814505543,4.814852494,4.816512798,4.815290278,4.815551857,4.815784977,4.815542371,4.815626402,4.81565125,4.815606674,4.815628109,4.815628677,4.815621153,4.81562598,4.81562527,4.815624134,4.815625128,4.815624844,4.815624702,4.815624892,4.815624813,4.815624802,4.815624835,4.815624817,4.815624818,4.815624823,4.815624819,4.81562482,4.815624821,4.81562482,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821
IGCCHCL,5.160968299,4.960140312,4.604166667,4.908425093,4.824244024,4.778945261,4.837204793,4.813464692,4.809871582,4.820180356,4.814505543,4.814852494,4.816512798,4.815290278,4.815551857,4.815784977,4.815542371,4.815626402,4.81565125,4.815606674,4.815628109,4.815628677,4.815621153,4.81562598,4.81562527,4.815624134,4.815625128,4.815624844,4.815624702,4.815624892,4.815624813,4.815624802,4.815624835,4.815624817,4.815624818,4.815624823,4.815624819,4.81562482,4.815624821,4.81562482,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821
IGCCBMS,5.160968299,4.960140312,4.604166667,4.908425093,4.824244024,4.778945261,4.837204793,4.813464692,4.809871582,4.820180356,4.814505543,4.814852494,4.816512798,4.815290278,4.815551857,4.815784977,4.815542371,4.815626402,4.81565125,4.815606674,4.815628109,4.815628677,4.815621153,4.81562598,4.81562527,4.815624134,4.815625128,4.815624844,4.815624702,4.815624892,4.815624813,4.815624802,4.815624835,4.815624817,4.815624818,4.815624823,4.815624819,4.81562482,4.815624821,4.81562482,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821,4.815624821
CCCGT,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665,2.312300665
ACCGT,1.988071539,1.898150606,1.730326215,1.872182787,1.833553202,1.812020735,1.839252241,1.828275393,1.826516123,1.831347919,1.828713145,1.828859062,1.829640042,1.82907075,1.829189951,1.829300248,1.829186983,1.829225727,1.829237653,1.829216788,1.829226723,1.829227054,1.829223521,1.829225766,1.829225447,1.829224912,1.829225375,1.829225245,1.829225177,1.829225266,1.829225229,1.829225224,1.82922524,1.829225231,1.829225231,1.829225234,1.829225232,1.829225232,1.829225233,1.829225232,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233
*ACCHT,1.988071539,1.898150606,1.730326215,1.872182787,1.833553202,1.812020735,1.839252241,1.828275393,1.826516123,1.831347919,1.828713145,1.828859062,1.829640042,1.82907075,1.829189951,1.829300248,1.829186983,1.829225727,1.829237653,1.829216788,1.829226723,1.829227054,1.829223521,1.829225766,1.829225447,1.829224912,1.829225375,1.829225245,1.829225177,1.829225266,1.829225229,1.829225224,1.82922524,1.829225231,1.829225231,1.829225234,1.829225232,1.829225232,1.829225233,1.829225232,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233,1.829225233
