dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
EGY,OLQ,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,OLQ,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,OLQ,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,OLQ,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,NGS,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,NGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,NGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,NGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,NGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,NGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,OGS,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,OGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,OGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,OGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,OGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,OGS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,BMSWAS,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,BMSWAS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,BMSWAS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,BMSWAS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,BMSWAS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,BMSWAS,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,ELC,45.0434924242424,49.194943030303,51.3897345454546,50.3975595454546,53.861765,56.0785889393939,53.7246610606061,54.3337612121212,54.9054046969697
CHA,ELC,0.4769,0.5643,0.5912,0.6397,0.5805,0.5341,0.5319,0.5524,0.4892
EGY,ELC,0.0131,0.0088,0.0066,0.0052,0.0044,0.0046,0.0056,0.007,0.006
IND,ELC,0.4825,0.4518,0.4124,0.4814,0.4307,0.451,0.4831,0.4825,0.4005
MAR,ELC,0.3941,0.4413,0.4868,0.4774,0.5279,0.4419,0.4549,0.521,0.3203
USA,ELC,3.8771,4.4979,5.0961,5.9294,5.7199,6.5162,6.2536,5.6489,5.0104
