OLD NAMES,NEW NAMES,SETS,SECTOR
" VGrsInlConsNotEneBranch(runCy,EFS,YTIME)"," VConsGrssInlNotEneBranch(runCy,EFS,YTIME)",EFS,REST OF ENERGY BALANCE SECTORS
QGrssInCons            ,QConsGrssInl            ,EFS,REST OF ENERGY BALANCE SECTORS
" VGrssInCons(runCy,EFS,YTIME)      "," VConsGrssInl(runCy,EFS,YTIME)      ",EFS,REST OF ENERGY BALANCE SECTORS
QPrimProd             ,QProdPrimary            ,PPRODEF,REST OF ENERGY BALANCE SECTORS
" VPrimProd(runCy,PPRODEF,YTIME)"," VProdPrimary(runCy,PPRODEF,YTIME)",PPRODEF,REST OF ENERGY BALANCE SECTORS
QFakeExp              ,QExp                ,EFS$(IMPEF(EFS)),REST OF ENERGY BALANCE SECTORS
" VExportsFake(runCy,EFS,YTIME)"," VExp(runCy,EFS,YTIME)",EFS$(IMPEF(EFS)),REST OF ENERGY BALANCE SECTORS
QFakeImprts            ,QImp                ,EFS$(IMPEF(EFS)),REST OF ENERGY BALANCE SECTORS
" VFkImpAllFuelsNotNatGas(runCy,EFS,YTIME)"," VImp(runCy,EFS,YTIME)",EFS$(IMPEF(EFS)),REST OF ENERGY BALANCE SECTORS
QNetImports            ,QImpNetEneBrnch          ,EFS,REST OF ENERGY BALANCE SECTORS
" VNetImports(runCy,EFS,YTIME)"," VImpNetEneBrnch(runCy,EFS,YTIME)",EFS,REST OF ENERGY BALANCE SECTORS
QEneBrnchEneCons          ,QConsFiEneSec           ,EFS,REST OF ENERGY BALANCE SECTORS
" VEnCons(runCy,EFS,YTIME)"," VConsFiEneSec(runCy,EFS,YTIME)",EFS,REST OF ENERGY BALANCE SECTORS
QCO2ElcHrg             ,QCapCO2ElecHydr          ,,CO2 SEQUESTRATION COST CURVES
" VCO2ElcHrgProd(runCy,YTIME)"," VCapCO2ElecHydr(runCy,YTIME)",,CO2 SEQUESTRATION COST CURVES
QCumCO2Capt            ,QCaptCummCO2            ,,CO2 SEQUESTRATION COST CURVES
" VCumCO2Capt(runCy,YTIME)"," VCaptCummCO2(runCy,YTIME)",,CO2 SEQUESTRATION COST CURVES
QWghtTrnstLinToExpo        ,QTrnsWghtLinToExp         ,,CO2 SEQUESTRATION COST CURVES
" VWghtTrnstLnrToExpo(runCy,YTIME)"," VTrnsWghtLinToExp(runCy,YTIME)",,CO2 SEQUESTRATION COST CURVES
QCstCO2SeqCsts           ,QCstCO2SeqCsts           ,,CO2 SEQUESTRATION COST CURVES
" VCO2SeqCsts(runCy,YTIME)  "," VCstCO2SeqCsts(runCy,YTIME)    ",,CO2 SEQUESTRATION COST CURVES
QTotGhgEmisAllCountrNap      ,QGrnnHsEmisCO2Equiv        ,NAP,EMISSIONS CONSTRAINTS
" VTotGhgEmisAllCountrNap(NAP,YTIME)"," VGrnnHsEmisCO2Equiv(NAP,YTIME)",NAP,EMISSIONS CONSTRAINTS
qTotCo2AllCoun          ,qGrnnHsEmisCO2EquivAllCntr     ,,EMISSIONS CONSTRAINTS
 vTotCo2AllCoun(YTIME) , vGrnnHsEmisCO2EquivAllCntr(YTIME) ,,EMISSIONS CONSTRAINTS
qHouseExpEne            ,qExpendHouseEne          ,,EMISSIONS CONSTRAINTS
" vHouseExpEne(runCy,YTIME)"," vExpendHouseEne(runCy,YTIME)",,EMISSIONS CONSTRAINTS
QFuelPriSubSepCarbVal       ,QPriceFuelSubsecCarVal        ,"(SBS,EF)$$(SECTTECH(SBS,EF)$(not sameas(""NUC"",EF)))",EMISSIONS CONSTRAINTS
" VFuelPriceSub(runCy,SBS,EF,YTIME)"," VPriceFuelSubsecCarVal(runCy,SBS,EF,YTIME)","(SBS,EF)$$(SECTTECH(SBS,EF)$(not sameas(""NUC"",EF)))",EMISSIONS CONSTRAINTS
QFuelPriSepCarbon         ,QPriceFuelSepCarbonWght      ,"(DSBS,EF)$(SECTTECH(DSBS,EF)",EMISSIONS CONSTRAINTS
" VFuelPriMultWgt(runCy,DSBS,EF,YTIME)"," VPriceFuelSepCarbonWght(runCy,DSBS,EF,YTIME)","(DSBS,EF)$(SECTTECH(DSBS,EF)",EMISSIONS CONSTRAINTS
QAvgFuelPriSub           ,QPriceFuelAvgSub          ,DSBS,EMISSIONS CONSTRAINTS
" VFuelPriceAvg(runCy,DSBS,YTIME)"," VPriceFuelAvgSub(runCy,DSBS,YTIME)",DSBS,EMISSIONS CONSTRAINTS
QElecPriIndResCons         ,QPriceElecIndResConsu       ,ESET,EMISSIONS CONSTRAINTS
" VElecPriInduResConsu(runCy,ESET,YTIME)"," VPriceElecIndResConsu(runCy,ESET,YTIME)",ESET,EMISSIONS CONSTRAINTS
