dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
*MAR,STE1CL,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625
*MAR,STE1CH,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232,31.232
*MAR,STE1CD,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998
*MAR,STE1CR,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945
*MAR,STE1CG,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35
*MAR,STE1CB,57.91009351863969,53.40081810931984,50.62763373965992,49.24104155482996,48.54774546241498,48.20109741620749,48.02777339310374,47.94111138155187,47.89778037577594,47.87611487288797,48.89154269999999,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,47.85444937,46.81735604
MAR,STE1AL,58.462081681249984,55.71614563124999,53.22764108593749,51.983388813281245,51.36126267695312,51.05019960878906,50.89466807470703,50.81690230766601,50.778019424145505,50.75857798238525,52.970209581249996,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,50.739136540625,48.50806349999999
MAR,STE1AH,50.6090221,47.06082289999999,43.84526737499999,42.23748961249999,41.433600731249996,41.031656290624994,40.83068407031249,40.73019796015625,40.67995490507812,40.654833377539056,43.51262369999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,40.62971184999999,37.74679999999999
MAR,STE1AD,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998,20.009999999999998
MAR,STE1AR,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945
