dummy,dummy,LFT
PCH,LGN,20
PCH,HCL,20
PCH,GDO,20
PCH,RFO,20
PCH,LPG,20
PCH,OLQ,20
PCH,NGS,20
PCH,OGS,20
NEN,LGN,20
NEN,HCL,20
NEN,GDO,20
NEN,RFO,20
NEN,LPG,20
NEN,OLQ,20
NEN,NGS,20
NEN,OGS,20
BU,GDO,25
BU,RFO,25
BU,OLQ,25
