dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SUPCRL,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
SUPCR,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
FBCLGN,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508,2.508
FBCHCL,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
IGCCLGN,2.64,2.53,2.365,2.585,2.4475,2.475,2.51625,2.46125,2.495625,2.48875,2.4784375,2.4921875,2.48359375,2.4853125,2.487890625,2.484453125,2.486601563,2.486171875,2.485527344,2.486386719,2.485849609,2.485957031,2.486118164,2.48590332,2.486037598,2.486010742,2.485970459,2.48602417,2.485990601,2.485997314,2.486007385,2.485993958,2.48600235,2.486000671,2.485998154,2.486001511,2.485999413,2.485999832,2.486000462,2.485999622,2.486000147,2.486000042,2.485999885,2.486000094,2.485999963,2.48599999,2.486000029,2.485999976,2.486000009,2.486000003,2.485999993,2.486000006,2.485999998,2.485999999,2.486000002,2.485999999,2.486000001,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486
IGCCHCL,2.64,2.53,2.365,2.585,2.4475,2.475,2.51625,2.46125,2.495625,2.48875,2.4784375,2.4921875,2.48359375,2.4853125,2.487890625,2.484453125,2.486601563,2.486171875,2.485527344,2.486386719,2.485849609,2.485957031,2.486118164,2.48590332,2.486037598,2.486010742,2.485970459,2.48602417,2.485990601,2.485997314,2.486007385,2.485993958,2.48600235,2.486000671,2.485998154,2.486001511,2.485999413,2.485999832,2.486000462,2.485999622,2.486000147,2.486000042,2.485999885,2.486000094,2.485999963,2.48599999,2.486000029,2.485999976,2.486000009,2.486000003,2.485999993,2.486000006,2.485999998,2.485999999,2.486000002,2.485999999,2.486000001,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486
IGCCBMS,2.64,2.53,2.365,2.585,2.4475,2.475,2.51625,2.46125,2.495625,2.48875,2.4784375,2.4921875,2.48359375,2.4853125,2.487890625,2.484453125,2.486601563,2.486171875,2.485527344,2.486386719,2.485849609,2.485957031,2.486118164,2.48590332,2.486037598,2.486010742,2.485970459,2.48602417,2.485990601,2.485997314,2.486007385,2.485993958,2.48600235,2.486000671,2.485998154,2.486001511,2.485999413,2.485999832,2.486000462,2.485999622,2.486000147,2.486000042,2.485999885,2.486000094,2.485999963,2.48599999,2.486000029,2.485999976,2.486000009,2.486000003,2.485999993,2.486000006,2.485999998,2.485999999,2.486000002,2.485999999,2.486000001,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486,2.486
CCCGT,0.792,0.759,0.704,0.7755,0.7315,0.73975,0.7535,0.735625,0.746625,0.7445625,0.741125,0.74559375,0.74284375,0.743359375,0.74421875,0.743101563,0.743789063,0.743660156,0.743445313,0.743724609,0.743552734,0.743584961,0.743638672,0.743568848,0.743611816,0.74360376,0.743590332,0.743607788,0.743597046,0.74359906,0.743602417,0.743598053,0.743600739,0.743600235,0.743599396,0.743600487,0.743599815,0.743599941,0.743600151,0.743599878,0.743600046,0.743600015,0.743599962,0.74360003,0.743599988,0.743599996,0.743600009,0.743599992,0.743600003,0.743600001,0.743599998,0.743600002,0.743599999,0.7436,0.743600001,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436,0.7436
ACCGT,0.902,0.847,0.825,0.8745,0.836,0.84975,0.85525,0.842875,0.8525,0.8490625,0.8476875,0.85078125,0.848375,0.849234375,0.849578125,0.848804688,0.84940625,0.849191406,0.849105469,0.849298828,0.849148438,0.849202148,0.849223633,0.849175293,0.849212891,0.849199463,0.849194092,0.849206177,0.849196777,0.849200134,0.849201477,0.849198456,0.849200806,0.849199966,0.849199631,0.849200386,0.849199799,0.849200008,0.849200092,0.849199903,0.84920005,0.849199998,0.849199977,0.849200024,0.849199987,0.849200001,0.849200006,0.849199994,0.849200003,0.8492,0.849199999,0.849200002,0.849199999,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492
*ACCHT,0.902,0.847,0.825,0.8745,0.836,0.84975,0.85525,0.842875,0.8525,0.8490625,0.8476875,0.85078125,0.848375,0.849234375,0.849578125,0.848804688,0.84940625,0.849191406,0.849105469,0.849298828,0.849148438,0.849202148,0.849223633,0.849175293,0.849212891,0.849199463,0.849194092,0.849206177,0.849196777,0.849200134,0.849201477,0.849198456,0.849200806,0.849199966,0.849199631,0.849200386,0.849199799,0.849200008,0.849200092,0.849199903,0.84920005,0.849199998,0.849199977,0.849200024,0.849199987,0.849200001,0.849200006,0.849199994,0.849200003,0.8492,0.849199999,0.849200002,0.849199999,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492
