dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PCH,THCL,9.86E-09,1.03E-08,1.06E-08,1.09E-08,1.11E-08,1.13E-08,1.14E-08,1.15E-08,1.16E-08,1.17E-08,1.17E-08,1.18E-08,1.19E-08,1.19E-08,1.20E-08,1.21E-08,1.21E-08,1.22E-08,1.22E-08,1.22E-08,1.23E-08,1.23E-08,1.23E-08,1.23E-08,1.23E-08,1.23E-08,1.22E-08,1.22E-08,1.22E-08,1.22E-08,1.21E-08,1.21E-08,1.20E-08,1.20E-08,1.20E-08,1.19E-08,1.19E-08,1.18E-08,1.18E-08,1.17E-08,1.17E-08,1.16E-08,1.16E-08,1.15E-08,1.15E-08,1.15E-08,1.15E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.14E-08,1.15E-08,1.15E-08,1.15E-08,1.16E-08,1.17E-08,1.17E-08,1.18E-08,1.19E-08,1.19E-08,1.20E-08,1.21E-08,1.21E-08,1.22E-08,1.23E-08,1.23E-08,1.24E-08,1.24E-08,1.25E-08,1.26E-08,1.26E-08,1.27E-08,1.27E-08,1.28E-08,1.28E-08,1.29E-08,1.29E-08,1.30E-08,1.30E-08,1.31E-08,1.31E-08,1.32E-08,1.32E-08,1.33E-08,1.33E-08,1.34E-08,1.34E-08
IS,THCL,0.179921908,0.21648432,0.244611766,0.265325164,0.279645429,0.288593478,0.293190226,0.29445659,0.293413486,0.29108183,0.288608498,0.287014407,0.285361451,0.283695882,0.282028716,0.280387229,0.278977225,0.277839292,0.27695949,0.27632388,0.275918524,0.275729481,0.275742813,0.275944581,0.276320844,0.276857666,0.277541105,0.278357223,0.27929208,0.280331739,0.281462258,0.2826697,0.283940125,0.285259593,0.286614166,0.287989905,0.28937287,0.290749122,0.292104723,0.293425732,0.29469821,0.29590822,0.29704182,0.298085073,0.299024039,0.299844778,0.300533352,0.301075822,0.301458248,0.301666691,0.301687212,0.301505871,0.301108731,0.300481851,0.299611292,0.298483115,0.297083381,0.295398151,0.293413486,0.29108183,0.288608498,0.287014407,0.285361451,0.283695882,0.282028716,0.280387229,0.278806501,0.277313807,0.275936421,0.274701617,0.273636669,0.27276885,0.272125435,0.271733698,0.271620912,0.271814351,0.272341289,0.273229,0.274504759,0.276195838,0.278329513,0.280933056,0.284033741,0.287658844,0.291835636,0.296591393,0.301953389,0.307948896,0.31460519,0.321949544,0.330009232
IS,THCLCCS,0.017992191,0.021648432,0.024461177,0.026532516,0.027964543,0.028859348,0.029319023,0.029445659,0.029341349,0.029108183,0.02886085,0.028701441,0.028536145,0.028369588,0.028202872,0.028038723,0.027897723,0.027783929,0.027695949,0.027632388,0.027591852,0.027572948,0.027574281,0.027594458,0.027632084,0.027685767,0.027754111,0.027835722,0.027929208,0.028033174,0.028146226,0.02826697,0.028394013,0.028525959,0.028661417,0.028798991,0.028937287,0.029074912,0.029210472,0.029342573,0.029469821,0.029590822,0.029704182,0.029808507,0.029902404,0.029984478,0.030053335,0.030107582,0.030145825,0.030166669,0.030168721,0.030150587,0.030110873,0.030048185,0.029961129,0.029848312,0.029708338,0.029539815,0.029341349,0.029108183,0.02886085,0.028701441,0.028536145,0.028369588,0.028202872,0.028038723,0.02788065,0.027731381,0.027593642,0.027470162,0.027363667,0.027276885,0.027212544,0.02717337,0.027162091,0.027181435,0.027234129,0.0273229,0.027450476,0.027619584,0.027832951,0.028093306,0.028403374,0.028765884,0.029183564,0.029659139,0.030195339,0.03079489,0.031460519,0.032194954,0.033000923
NF,THCL,0.19502612,0.090438774,0.008694925,0.052929842,0.097159944,0.126719794,0.144333811,0.152726408,0.154622001,0.152745007,0.150164428,0.14960468,0.148527735,0.147374184,0.146215151,0.145078254,0.144106888,0.143324685,0.142721963,0.142289038,0.142016226,0.141893845,0.14191221,0.142061639,0.142332449,0.142714955,0.143199474,0.143776324,0.14443582,0.14516828,0.14596402,0.146813356,0.147706606,0.148634086,0.149586113,0.150553002,0.151525072,0.152492638,0.153446018,0.154375527,0.155271482,0.156124201,0.156924,0.157661194,0.158326102,0.15890904,0.159400324,0.159790271,0.160069197,0.16022742,0.160255255,0.160143021,0.159881032,0.159459606,0.15886906,0.158099709,0.157141872,0.155985863,0.154622001,0.152745007,0.150164428,0.14960468,0.148527735,0.147374184,0.146215151,0.145078254,0.144012931,0.1430468,0.14220748,0.141522587,0.141019741,0.140726559,0.140670659,0.14087966,0.14138118,0.142202836,0.143372247,0.14491703,0.146864805,0.149243188,0.152079799,0.155402254,0.159238173,0.163615173,0.168560872,0.174102889,0.180268841,0.187086347,0.194583024,0.202786491,0.211724366
CH,THCL,0.159778978,0.118609533,0.086830146,0.063279085,0.046794621,0.036215023,0.03037856,0.028123502,0.028288119,0.029710679,0.031077892,0.031228028,0.031358115,0.03147647,0.031586735,0.031690921,0.031730633,0.031696048,0.031592188,0.031424076,0.031196732,0.03091518,0.030584443,0.030209541,0.029795498,0.029347337,0.028870078,0.028368745,0.027848359,0.027313944,0.026770521,0.026223113,0.025676742,0.02513643,0.024607199,0.024094073,0.023602073,0.023136221,0.02270154,0.022303052,0.021945779,0.021634744,0.021374969,0.021171476,0.021029288,0.020953427,0.020948915,0.021020774,0.021174027,0.021413696,0.021744804,0.022172372,0.022701423,0.023336979,0.024084062,0.024947696,0.025932902,0.027044702,0.028288119,0.029710679,0.031077892,0.031228028,0.031358115,0.03147647,0.031586735,0.031690921,0.031783363,0.031866072,0.031941057,0.032010325,0.032075887,0.032139752,0.032203928,0.032270424,0.03234125,0.032418414,0.032503926,0.032599794,0.032708027,0.032830636,0.032969627,0.033127012,0.033304797,0.033504994,0.03372961,0.033980654,0.034260136,0.034570065,0.034912449,0.035289298,0.035702621
CH,THCLCCS,0.015977898,0.011860953,0.008683015,0.006327909,0.004679462,0.003621502,0.003037856,0.00281235,0.002828812,0.002971068,0.003107789,0.003122803,0.003135812,0.003147647,0.003158674,0.003169092,0.003173063,0.003169605,0.003159219,0.003142408,0.003119673,0.003091518,0.003058444,0.003020954,0.00297955,0.002934734,0.002887008,0.002836875,0.002784836,0.002731394,0.002677052,0.002622311,0.002567674,0.002513643,0.00246072,0.002409407,0.002360207,0.002313622,0.002270154,0.002230305,0.002194578,0.002163474,0.002137497,0.002117148,0.002102929,0.002095343,0.002094892,0.002102077,0.002117403,0.00214137,0.00217448,0.002217237,0.002270142,0.002333698,0.002408406,0.00249477,0.00259329,0.00270447,0.002828812,0.002971068,0.003107789,0.003122803,0.003135812,0.003147647,0.003158674,0.003169092,0.003178336,0.003186607,0.003194106,0.003201033,0.003207589,0.003213975,0.003220393,0.003227042,0.003234125,0.003241841,0.003250393,0.003259979,0.003270803,0.003283064,0.003296963,0.003312701,0.00333048,0.003350499,0.003372961,0.003398065,0.003426014,0.003457007,0.003491245,0.00352893,0.003570262
BM,THCL,0.019986035,0.018266646,0.016923564,0.015910503,0.015181179,0.014689309,0.014388609,0.014232793,0.01417558,0.014170683,0.014165829,0.014114732,0.014064412,0.014015157,0.013967326,0.013922298,0.013881904,0.013846461,0.013815769,0.013789625,0.01376783,0.013750182,0.013736481,0.013726524,0.013720112,0.013717043,0.013717116,0.01372013,0.013725884,0.013734177,0.013744808,0.013757576,0.01377228,0.013788719,0.013806692,0.013825998,0.013846436,0.013867805,0.013889904,0.013912531,0.013935486,0.013958569,0.013981576,0.014004309,0.014026566,0.014048145,0.014068846,0.014088467,0.014106809,0.014123669,0.014138846,0.01415214,0.01416335,0.014172275,0.014178713,0.014182463,0.014183325,0.014181098,0.01417558,0.014170683,0.014165829,0.014114732,0.014064412,0.014015157,0.013967326,0.013922298,0.013881201,0.013845416,0.013816318,0.013795286,0.013783699,0.013782934,0.013794369,0.013819382,0.013859352,0.013915655,0.01398967,0.014082776,0.014196349,0.014331768,0.014490411,0.014673656,0.014882881,0.015119464,0.015384783,0.015680215,0.016007139,0.016366933,0.016760975,0.017190642,0.017657313
BM,THCLCCS,0.001998604,0.001826665,0.001692356,0.00159105,0.001518118,0.001468931,0.001438861,0.001423279,0.001417558,0.001417068,0.001416583,0.001411473,0.001406441,0.001401516,0.001396733,0.00139223,0.00138819,0.001384646,0.001381577,0.001378963,0.001376783,0.001375018,0.001373648,0.001372652,0.001372011,0.001371704,0.001371712,0.001372013,0.001372588,0.001373418,0.001374481,0.001375758,0.001377228,0.001378872,0.001380669,0.0013826,0.001384644,0.001386781,0.00138899,0.001391253,0.001393549,0.001395857,0.001398158,0.001400431,0.001402657,0.001404815,0.001406885,0.001408847,0.001410681,0.001412367,0.001413885,0.001415214,0.001416335,0.001417228,0.001417871,0.001418246,0.001418333,0.00141811,0.001417558,0.001417068,0.001416583,0.001411473,0.001406441,0.001401516,0.001396733,0.00139223,0.00138812,0.001384542,0.001381632,0.001379529,0.00137837,0.001378293,0.001379437,0.001381938,0.001385935,0.001391566,0.001398967,0.001408278,0.001419635,0.001433177,0.001449041,0.001467366,0.001488288,0.001511946,0.001538478,0.001568022,0.001600714,0.001636693,0.001676098,0.001719064,0.001765731
PP,THCL,0.056300165,0.040620716,0.028547954,0.019635887,0.01343852,0.00950986,0.007403913,0.006674685,0.006876182,0.007562412,0.008229271,0.008430767,0.008625136,0.008814138,0.008998306,0.009178403,0.009316327,0.009404895,0.009447051,0.009445739,0.009403904,0.009324491,0.009210442,0.009064703,0.008890219,0.008689932,0.008466788,0.008223731,0.007963705,0.007689654,0.007404524,0.007111257,0.006812799,0.006512093,0.006212085,0.005915718,0.005625936,0.005345685,0.005077907,0.004825548,0.004591552,0.004378864,0.004190426,0.004029185,0.003898083,0.003800066,0.003738078,0.003715062,0.003733964,0.003797728,0.003909297,0.004071617,0.004287631,0.004560284,0.00489252,0.005287284,0.005747519,0.006276171,0.006876182,0.007562412,0.008229271,0.008430767,0.008625136,0.008814138,0.008998306,0.009178403,0.009352294,0.009520744,0.009684517,0.009844376,0.010001087,0.010155413,0.010308118,0.010459967,0.010611723,0.010764151,0.010918015,0.01107408,0.011233108,0.011395865,0.011563115,0.011735621,0.011914148,0.01209946,0.012292321,0.012493496,0.012703747,0.012923841,0.01315454,0.013396609,0.013650812
FD,THCL,0.049645305,0.039689234,0.032062458,0.026475333,0.022638216,0.020261464,0.019055435,0.018730485,0.018996972,0.019565252,0.020106974,0.020332493,0.020553382,0.020772031,0.020989306,0.021208958,0.021389083,0.021520852,0.021606997,0.02165025,0.021653341,0.021619001,0.021549963,0.021448958,0.021318717,0.021161971,0.020981451,0.02077989,0.020560018,0.020324567,0.020076268,0.019817852,0.019552051,0.019281597,0.01900922,0.018737652,0.018469624,0.018207868,0.017955115,0.017714096,0.017487543,0.017278187,0.017088759,0.016921991,0.016780615,0.01666736,0.01658496,0.016536145,0.016523647,0.016550196,0.016618525,0.016731364,0.016891445,0.0171015,0.01736426,0.017682455,0.018058818,0.01849608,0.018996972,0.019565252,0.020106974,0.020332493,0.020553382,0.020772031,0.020989306,0.021208958,0.021432964,0.021665073,0.021909038,0.022168609,0.022447536,0.02274957,0.023078463,0.023437964,0.023831826,0.024263798,0.024737632,0.025257078,0.025825888,0.026447811,0.027126599,0.027866003,0.028669773,0.02954166,0.030485416,0.03150479,0.032603534,0.033785399,0.035054135,0.036413493,0.037867224
