dummy,dummy,IC,FC,VC,LFT,USC
PP,STE1AD,1.821863556,54.264,11.38604651,25,0.34
PP,STE1AR,1.821863556,54.264,11.38604651,25,0.34
PP,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
PP,STE1AB,2.333352,67.1517,18.97674419,25,0.37
PP,STE1AH2F,2.278894545,68.36683636,0,25,0.5
PP,HEATPUMP,1.157382772,3.1021056,0,25,1.68
PP,BMSWAS,0.901794077,1.632,0,25,0.5
PP,ELC,0.884,1.632,0,25,0.97
FD,LGN,0.630963432,0.5372,0,25,0.5
FD,HCL,0.630963432,0.5372,0,25,0.5
FD,GDO,0.420642288,0.5372,0,25,0.72
FD,RFO,0.420642288,0.5372,0,25,0.72
FD,LPG,0.420642288,0.5372,0,25,0.72
FD,KRS,0.420642288,0.5372,0,25,0.72
FD,OLQ,0.420642288,0.5372,0,25,0.72
FD,NGS,0.33651383,0.5372,0,25,0.8
FD,OGS,0.33651383,0.5372,0,25,0.8
*FD,STE1CL,6.8,136,136,30,0.23
*FD,STE1CH,6.8,136,136,30,0.25
*FD,STE1CD,6.8,136,136,30,0.3
*FD,STE1CR,6.8,136,136,30,0.3
*FD,STE1CG,6.8,136,136,30,0.38
*FD,STE1CB,6.8,136,136,30,0.2
FD,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
FD,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
FD,STE1AD,1.821863556,54.264,11.38604651,25,0.34
FD,STE1AR,1.821863556,54.264,11.38604651,25,0.34
FD,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
FD,STE1AB,2.333352,67.1517,18.97674419,25,0.37
FD,STE1AH2F,2.278894545,68.36683636,0,25,0.5
FD,HEATPUMP,0.647834112,1.02110976,0,25,1.68
FD,BMSWAS,0.630963432,0.5372,0,25,0.5
FD,ELC,0.476,0.5372,0,25,0.97
TX,LGN,0.67371714,0.169592,0,20,0.5
TX,HCL,0.67371714,0.169592,0,20,0.5
TX,GDO,0.44914476,0.169592,0,20,0.72
TX,RFO,0.44914476,0.169592,0,20,0.72
TX,LPG,0.44914476,0.169592,0,20,0.72
TX,KRS,0.44914476,0.169592,0,20,0.72
TX,OLQ,0.44914476,0.169592,0,20,0.72
TX,NGS,0.359315808,0.169592,0,20,0.8
TX,OGS,0.359315808,0.169592,0,20,0.8
*TX,STE1CL,6.8,136,136,30,0.23
*TX,STE1CH,6.8,136,136,30,0.25
*TX,STE1CD,6.8,136,136,30,0.3
*TX,STE1CR,6.8,136,136,30,0.3
*TX,STE1CG,6.8,136,136,30,0.38
*TX,STE1CB,6.8,136,136,30,0.2
TX,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
TX,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
TX,STE1AD,1.821863556,54.264,11.38604651,25,0.34
TX,STE1AR,1.821863556,54.264,11.38604651,25,0.34
TX,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
TX,STE1AB,2.333352,67.1517,18.97674419,25,0.37
TX,STE1AH2F,2.278894545,68.36683636,0,20,0.5
TX,HEATPUMP,0.691730967,0.322360474,0,20,1.68
TX,BMSWAS,0.476,0.169592,0,20,0.5
TX,ELC,0.476,0.169592,0,20,0.97
EN,LGN,1.009368499,0.317696,0,25,0.5
EN,HCL,1.009368499,0.317696,0,25,0.5
EN,GDO,0.841140416,0.317696,0,25,0.72
EN,RFO,0.841140416,0.317696,0,25,0.72
EN,LPG,0.841140416,0.317696,0,25,0.72
EN,KRS,0.841140416,0.317696,0,25,0.72
EN,OLQ,0.841140416,0.317696,0,25,0.72
EN,NGS,0.672912333,0.317696,0,25,0.8
EN,OGS,0.672912333,0.317696,0,25,0.8
*EN,STE1CL,6.8,136,136,30,0.23
*EN,STE1CH,6.8,136,136,30,0.25
*EN,STE1CD,6.8,136,136,30,0.3
*EN,STE1CR,6.8,136,136,30,0.3
*EN,STE1CG,6.8,136,136,30,0.38
*EN,STE1CB,6.8,136,136,30,0.2
EN,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
EN,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
EN,STE1AD,1.821863556,54.264,11.38604651,25,0.34
EN,STE1AR,1.821863556,54.264,11.38604651,25,0.34
