dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RWO,BMSWAS,10430877.3717,10377911.0055934,10324944.6394869,10271978.2733802,10219011.9072737,10166045.5411671,10113079.1750606,10060112.808954,7105120.8220475,7067514.82440775,7029908.82676805,7042804.14811683,7055699.4694656,7068594.79081438,7081490.11216323,7094385.43351198,10010188.6116325,10028351.0951323,10046513.578632,10064676.0621317,10082838.5456314,10095965.7653606,10109092.9850897,10122220.2048189,10135347.424548,10148474.6442771,10161601.8640063,10174729.0837354,10187856.3034645,10200983.5231937,10214110.7429228,10244209.5271174,10274308.311312,10304407.0955066,10334505.8797012,10364604.6638957,10394703.4480903,10424802.2322848,10454901.0164794,10484999.800674,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686,10515098.5848686
CHA,BMSWAS,42749.497425,42532.4221540714,42315.3468831429,42098.2716122143,41881.1963412857,41664.1210703571,41447.0457994286,41229.9705285,28882.6144474642,28729.7445383596,28576.874629255,28629.2946347379,28681.7146402208,28734.1346457037,28786.5546511866,28838.9746566695,41025.3631624286,41099.7995702143,41174.235978,41248.6723857857,41323.1087935714,41376.9088744286,41430.7089552857,41484.5090361429,41538.309117,41592.1091978571,41645.9092787143,41699.7093595714,41753.5094404286,41807.3095212857,41861.1096021429,41984.4652750714,42107.820948,42231.1766209286,42354.5322938571,42477.8879667857,42601.2436397143,42724.5993126429,42847.9549855714,42971.3106585,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286
EGY,BMSWAS,42749.497425,42532.4221540714,42315.3468831429,42098.2716122143,41881.1963412857,41664.1210703571,41447.0457994286,41229.9705285,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,41025.3631624286,41099.7995702143,41174.235978,41248.6723857857,41323.1087935714,41376.9088744286,41430.7089552857,41484.5090361429,41538.309117,41592.1091978571,41645.9092787143,41699.7093595714,41753.5094404286,41807.3095212857,41861.1096021429,41984.4652750714,42107.820948,42231.1766209286,42354.5322938571,42477.8879667857,42601.2436397143,42724.5993126429,42847.9549855714,42971.3106585,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286
IND,BMSWAS,42749.497425,42532.4221540714,42315.3468831429,42098.2716122143,41881.1963412857,41664.1210703571,41447.0457994286,41229.9705285,28882.6144474642,28729.7445383596,28576.874629255,28629.2946347379,28681.7146402208,28734.1346457037,28786.5546511866,28838.9746566695,41025.3631624286,41099.7995702143,41174.235978,41248.6723857857,41323.1087935714,41376.9088744286,41430.7089552857,41484.5090361429,41538.309117,41592.1091978571,41645.9092787143,41699.7093595714,41753.5094404286,41807.3095212857,41861.1096021429,41984.4652750714,42107.820948,42231.1766209286,42354.5322938571,42477.8879667857,42601.2436397143,42724.5993126429,42847.9549855714,42971.3106585,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286
MAR,BMSWAS,42749.497425,42532.4221540714,42315.3468831429,42098.2716122143,41881.1963412857,41664.1210703571,41447.0457994286,41229.9705285,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,1.16601435094586,41025.3631624286,41099.7995702143,41174.235978,41248.6723857857,41323.1087935714,41376.9088744286,41430.7089552857,41484.5090361429,41538.309117,41592.1091978571,41645.9092787143,41699.7093595714,41753.5094404286,41807.3095212857,41861.1096021429,41984.4652750714,42107.820948,42231.1766209286,42354.5322938571,42477.8879667857,42601.2436397143,42724.5993126429,42847.9549855714,42971.3106585,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286
USA,BMSWAS,42749.497425,42532.4221540714,42315.3468831429,42098.2716122143,41881.1963412857,41664.1210703571,41447.0457994286,41229.9705285,28882.6144474642,28729.7445383596,28576.874629255,28629.2946347379,28681.7146402208,28734.1346457037,28786.5546511866,28838.9746566695,41025.3631624286,41099.7995702143,41174.235978,41248.6723857857,41323.1087935714,41376.9088744286,41430.7089552857,41484.5090361429,41538.309117,41592.1091978571,41645.9092787143,41699.7093595714,41753.5094404286,41807.3095212857,41861.1096021429,41984.4652750714,42107.820948,42231.1766209286,42354.5322938571,42477.8879667857,42601.2436397143,42724.5993126429,42847.9549855714,42971.3106585,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286,43094.6663314286
RWO,DPV,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718,63132.8549684718
CHA,DPV,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387
EGY,DPV,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105,228.310502283105
IND,DPV,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387,263.752989780387
