dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,BM,LGN,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,BM,LGN,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,BM,LGN,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,BM,LPG,1174.08403104048,1280.24335696235,1330.86727052983,1293.66676610137,1255.89231764937,1096.02050730609,1008.04798173383,1057.1060734829,1128.1974983734,1120.78596418442,1036.81321868795,1103.01724862479
CHA,BM,LPG,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
EGY,BM,LPG,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
IND,BM,LPG,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,BM,LPG,937.5373,914.3118,1025.7063,985.5672,1084.2977,993.4455,1055.103,1061.163,1067.3124,1110.994,961.7692,1052.6187
USA,BM,LPG,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,BM,NGS,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,BM,NGS,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,BM,NGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,BM,NGS,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,BM,NGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
USA,BM,NGS,225.3325,206.8974,153.9961,181.478,213.4584,150.0723,133.5843,152.2195,152.498,138.9109,115.6523,181.8496
RWO,BM,OGS,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,BM,OGS,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,BM,OGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,BM,OGS,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,BM,OGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
USA,BM,OGS,225.3325,206.8974,153.9961,181.478,213.4584,150.0723,133.5843,152.2195,152.498,138.9109,115.6523,181.8496
RWO,BM,OLQ,518.001934928394,582.704216241448,606.319132989555,578.988324069991,565.891351528257,505.717275158383,482.851119907826,510.05641985003,532.64512852114,530.117906167811,500.908704328803,535.62465370354
CHA,BM,OLQ,609.4429,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453
