region,temperature,risk,PC,ECPC,AP
LTU,1.600000,0.330000,124.607038,-288.383241,72.252550
LTU,1.600000,0.500000,165.318681,-264.140792,88.466935
LTU,2.000000,0.330000,326.571854,-168.119815,176.295111
LTU,2.000000,0.500000,402.242227,-123.060589,220.403104
LUX,1.600000,0.330000,27.984143,-212.757935,-4.270722
LUX,1.600000,0.500000,37.127130,-203.642566,0.870719
LUX,2.000000,0.330000,73.341231,-167.537853,37.487909
LUX,2.000000,0.500000,90.335220,-150.595197,53.253879
LVA,1.600000,0.330000,83.833552,-77.445009,62.956064
LVA,1.600000,0.500000,111.223671,-60.742163,77.730289
LVA,2.000000,0.330000,219.712135,5.415492,142.851539
LVA,2.000000,0.500000,270.621910,36.460925,172.625659
MEA,1.600000,0.330000,23372.509436,51269.248414,21395.553778
MEA,1.600000,0.500000,31008.781529,60334.304803,28340.967839
MEA,2.000000,0.330000,61254.996688,96239.736485,57010.619794
MEA,2.000000,0.500000,75448.468742,113088.877393,70382.776327
MLT,1.600000,0.330000,22.636123,0.237873,4.300761
MLT,1.600000,0.500000,30.031803,6.117703,5.379337
MLT,2.000000,0.330000,59.325066,29.406893,11.597485
MLT,2.000000,0.500000,73.071351,40.335681,14.467500
NEU,1.600000,0.330000,5098.539844,4339.555983,3021.166960
NEU,1.600000,0.500000,6764.336050,5792.250908,3769.861524
NEU,2.000000,0.330000,13362.323894,11546.174120,7336.045873
NEU,2.000000,0.500000,16458.524710,14246.285452,8899.189163
NLD,1.600000,0.330000,772.268419,-2906.977419,445.834749
NLD,1.600000,0.500000,1024.584149,-2694.900256,547.148412
NLD,2.000000,0.330000,2023.971778,-1854.892014,1255.997507
NLD,2.000000,0.500000,2492.948815,-1460.706048,1598.144020
OAS,1.600000,0.330000,55648.064745,124747.927099,48453.128636
OAS,1.600000,0.500000,73829.414294,143334.300285,65269.885503
OAS,2.000000,0.330000,145843.219406,216952.347880,129108.980481
OAS,2.000000,0.500000,179636.734561,251498.676922,157980.204807
POL,1.600000,0.330000,1708.699201,-4642.469190,1473.106532
POL,1.600000,0.500000,2266.965829,-4243.804177,1855.828752
POL,2.000000,0.330000,4478.182551,-2664.747327,3776.039816
POL,2.000000,0.500000,5515.827842,-1923.752160,4701.241191
PRT,1.600000,0.330000,455.148444,-278.476246,195.051479
PRT,1.600000,0.500000,603.854657,-166.239043,243.936525
PRT,2.000000,0.330000,1192.859350,278.316957,424.518416
PRT,2.000000,0.500000,1469.258285,486.931263,501.038436
REF,1.600000,0.330000,12978.195385,-37265.204329,21647.762573
REF,1.600000,0.500000,17218.434608,-33705.445025,28126.076044
REF,2.000000,0.330000,34013.434352,-19605.731905,51786.876711
REF,2.000000,0.500000,41894.729855,-12989.238467,61668.140869
ROU,1.600000,0.330000,857.748147,-753.278491,387.566441
ROU,1.600000,0.500000,1137.991835,-575.568037,482.713805
ROU,2.000000,0.330000,2247.998233,128.318435,910.078101
ROU,2.000000,0.500000,2768.884721,458.627299,1107.186082
SSA,1.600000,0.330000,49715.756596,281576.050945,41392.036078
SSA,1.600000,0.500000,65958.900951,308869.958696,60141.646549
SSA,2.000000,0.330000,130295.743982,416977.343588,151383.967199
SSA,2.000000,0.500000,160486.734120,467708.290854,208569.961983
SVK,1.600000,0.330000,242.079516,-503.266681,0.000000
SVK,1.600000,0.500000,321.171795,-444.100326,0.000000
SVK,2.000000,0.330000,634.445350,-209.750594,0.000000
SVK,2.000000,0.500000,781.453477,-99.778608,0.000000
SVN,1.600000,0.330000,93.702909,-212.622717,67.939606
SVN,1.600000,0.500000,124.317547,-188.968239,86.633071
SVN,2.000000,0.330000,245.577882,-95.276130,172.098068
SVN,2.000000,0.500000,302.481041,-51.309759,212.206735
SWE,1.600000,0.330000,459.293757,-71.754939,174.573597
SWE,1.600000,0.500000,609.354328,72.329929,217.735233
SWE,2.000000,0.330000,1203.723446,643.030115,466.938586
SWE,2.000000,0.500000,1482.639714,910.839396,569.258790
USA,1.600000,0.330000,14911.288436,-117294.260413,12412.491920
USA,1.600000,0.500000,19783.108301,-112728.751244,16843.623541
USA,2.000000,0.330000,39079.711414,-94645.402336,43914.598204
USA,2.000000,0.500000,48134.920325,-86159.530434,55726.365904
