dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RWO,STE1AG,0,0,0,0,0,0,0,0,0
REU,STE1AG,0,0,0,0,0,0,0,0,0
REP,STE1AG,0,0,0,0,0,0,0,0,0
RAF,STE1AG,0,0,0,0,0,0,0,0,0
RLA,STE1AG,0,0,0,0,0,0,0,0,0
ARG,STE1AG,0,0,0,0,0,0,0,0,0
OCE,STE1AG,0,0,0,0,0,0,0,0,0
AUT,STE1AG,0,0,0,0,0,0,0,0,0
BEL,STE1AG,0,0,0,0,0,0,0,0,0
BRA,STE1AG,0,0,0,0,0,0,0,0,0
BGR,STE1AG,0,0,0,0,0,0,0,0,0
CAN,STE1AG,0,0,0,0,0,0,0,0,0
CHA,STE1AG,0,0,0,0,0,0,0,0,0
HRV,STE1AG,0,0,0,0,0,0,0,0,0
CYP,STE1AG,0,0,0,0,0,0,0,0,0
CZE,STE1AG,0,0,0,0,0,0,0,0,0
DNK,STE1AG,0,0,0,0,0,0,0,0,0
EGY,STE1AG,0,0,0,0,0,0,0,0,0
EST,STE1AG,0,0,0,0,0,0,0,0,0
FIN,STE1AG,0,0,0,0,0,0,0,0,0
FRA,STE1AG,0,0,0,0,0,0,0,0,0
DEU,STE1AG,0,0,0,0,0,0,0,0,0
GRC,STE1AG,0,0,0,0,0,0,0,0,0
HUN,STE1AG,0,0,0,0,0,0,0,0,0
NSI,STE1AG,0,0,0,0,0,0,0,0,0
IND,STE1AG,0,0,0,0,0,0,0,0,0
IDN,STE1AG,0,0,0,0,0,0,0,0,0
IRN,STE1AG,0,0,0,0,0,0,0,0,0
IRL,STE1AG,0,0,0,0,0,0,0,0,0
ISR,STE1AG,0,0,0,0,0,0,0,0,0
ITA,STE1AG,0,0,0,0,0,0,0,0,0
JPN,STE1AG,0,0,0,0,0,0,0,0,0
KOR,STE1AG,0,0,0,0,0,0,0,0,0
LVA,STE1AG,0,0,0,0,0,0,0,0,0
LTU,STE1AG,0,0,0,0,0,0,0,0,0
LUX,STE1AG,0,0,0,0,0,0,0,0,0
MLT,STE1AG,0,0,0,0,0,0,0,0,0
MEX,STE1AG,0,0,0,0,0,0,0,0,0
MAR,STE1AG,0,0,0,0,0,0,0,0,0
NLD,STE1AG,0,0,0,0,0,0,0,0,0
NGA,STE1AG,0,0,0,0,0,0,0,0,0
