dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
gsr,0.651,0.6603,0.6696,0.6789,0.6882,0.6975,0.7068,0.7161,0.7254,0.7347,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.9066,0.9066,0.9066,0.9066,0.9066,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667
gss,0.027,0.0306,0.03419,0.03779,0.04139,0.04498,0.04859,0.0522,0.0558,0.05941,0.06302,0.06662,0.07023,0.07384,0.07744,0.08105,0.0908,0.10055,0.1103,0.12005,0.1298,0.13955,0.1493,0.15905,0.1688,0.1785,0.1882,0.1979,0.2076,0.2173,0.227,0.23775,0.2485,0.25925,0.27,0.28075,0.3019,0.32305,0.3442,0.36535,0.3865,0.40765,0.4288,0.44995,0.4711,0.49225,0.5134,0.53455,0.5557,0.57685,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
weg,0.06,0.068,0.07601,0.08401,0.09202,0.10002,0.10801,0.116,0.12399,0.13199,0.14,0.14899,0.15799,0.16698,0.17598,0.18497,0.20369,0.2224,0.24112,0.25983,0.27855,0.29726,0.31598,0.33469,0.35341,0.37212,0.39084,0.40955,0.42827,0.44698,0.4657,0.48365,0.5016,0.51955,0.5375,0.55545,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242,0.57242
cgf,0.651,0.6603,0.6696,0.6789,0.6882,0.6975,0.7068,0.7161,0.7254,0.7347,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.9066,0.9066,0.9066,0.9066,0.9066,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667,0.89667
cgs,0.0255,0.02856,0.03162,0.03468,0.03774,0.0408,0.04386,0.04692,0.04998,0.05304,0.0561,0.05916,0.06222,0.06528,0.06834,0.0714,0.08174,0.09208,0.10242,0.11276,0.1231,0.13344,0.14378,0.15412,0.16446,0.17478,0.1851,0.19542,0.20574,0.21606,0.22638,0.23744,0.2485,0.25956,0.27062,0.28168,0.30204,0.3224,0.34276,0.36312,0.38348,0.40384,0.4242,0.44456,0.46492,0.48528,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564,0.50564
bgfl,0.105,0.11434,0.12368,0.13301,0.14235,0.15169,0.16102,0.17036,0.17969,0.18903,0.19837,0.2077,0.21704,0.22638,0.23571,0.24505,0.25961,0.27418,0.28874,0.30331,0.31788,0.33244,0.34701,0.36158,0.37614,0.39071,0.40528,0.41985,0.43441,0.44898,0.46355,0.47813,0.49271,0.50728,0.52186,0.53644,0.55101,0.56559,0.58016,0.59474,0.60931,0.62313,0.63694,0.65076,0.66458,0.67839,0.69221,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602,0.70602
bgfls,0.015,0.01734,0.01968,0.02202,0.02436,0.0267,0.02904,0.03138,0.03372,0.03606,0.0384,0.04074,0.04308,0.04542,0.04776,0.0501,0.05766,0.06522,0.07278,0.08034,0.0879,0.09546,0.10302,0.11058,0.11814,0.1257,0.13326,0.14082,0.14838,0.15594,0.1635,0.17112,0.17874,0.18636,0.19398,0.2016,0.21664,0.23168,0.24672,0.26176,0.2768,0.29184,0.30688,0.32192,0.33696,0.352,0.36704,0.38208,0.39712,0.41216,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
