dummy,IS,NF,CH,BM,PP,FD,TX,EN,OE,OI,SE,HOU,AG,BU,PCH,NEN
RAS,2.57,1.99,2.23,3.43,2.27,2.54,3.02,2.61,1.49,1.61,1.47,2.41,1.82,2.0,2.0,2.0
MAR,2.57,1.99,2.23,3.43,2.27,2.54,3.02,2.61,1.49,1.61,1.47,2.41,1.82,2.0,2.0,2.0

