dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MEX,BM,ELC,1151.4244,1214.9137,1227.8947,1216.6126,1217.9806,951.4904,936.6161,1129.2292,1101.4361,1099.0284,1216.7099,1884.4773
MAR,BM,ELC,1645.6638,1634.4538,1607.5926,1580.3031,1577.0645,1594.0892,1524.3714,1586.7991,1558.6826,1553.2837,1542.3951,1521.0714
NLD,BM,ELC,1234.7703,1172.1116,1144.6914,1114.0756,1155.2272,1041.2425,990.3666,971.7969,982.9628,1048.8941,1176.1307,1236.6517
NGA,BM,ELC,2439.3229,2200.7599,1702.4951,1624.3411,1573.5081,1511.5748,1894.7715,1981.405,1794.8107,1476.9214,1257.2535,1044.6506
POL,BM,ELC,1210.3716,1152.4062,1151.3209,1058.5017,963.883,1043.1238,1013.8171,1006.6731,1031.3796,1109.6301,1185.0607,1219.2596
PRT,BM,ELC,1280.9998,1333.7895,1485.7898,1481.0772,1522.8086,1479.9321,1447.2715,1449.8717,1436.2322,1448.2461,1399.4396,1314.4178
ROU,BM,ELC,1431.1439,1354.2372,1370.2818,1410.5797,1370.9546,1336.2886,1286.8781,1311.7987,1394.7113,1602.3491,1665.0003,1789.6081
RUS,BM,ELC,444.9913,510.3446,490.5181,510.8303,463.6246,417.6972,401.6252,443.4067,431.5025,422.3164,411.7517,411.7517
SAU,BM,ELC,433.4381,409.5753,398.1629,384.5776,376.1655,371.6827,546.8266,551.4488,538.2186,549.7262,531.4165,515.6215
SVK,BM,ELC,1809.8416,1749.6843,1738.3018,1750.2758,1538.1244,1518.6024,1466.0275,1463.2489,1494.3223,1595.6065,1545.0456,1550.2537
SVN,BM,ELC,1252.8433,1219.6513,1199.1747,1218.0398,1113.5091,1024.5722,980.0166,928.3056,988.6037,1027.5128,1082.564,1146.0891
ZAF,BM,ELC,386.0402,437.3359,472.7673,507.8857,529.314,557.603,568.193,564.5764,567.8312,610.2742,645.584,686.8307
ESP,BM,ELC,1377.4354,1355.9748,1460.3771,1379.3358,1501.0132,1465.1966,1352.4139,1299.389,1346.8732,1357.1792,1276.8927,1246.0589
SWE,BM,ELC,990.3966,936.8075,830.052,810.1321,772.5263,683.2817,703.583,716.5257,797.4364,861.4424,745.5688,705.9931
TUN,BM,ELC,1000.7103,977.2302,1119.3216,958.1165,1278.4375,989.9219,955.2559,907.0961,1073.1059,1190.5163,1127.0165,1066.1761
TUR,BM,ELC,1412.6048,1357.0043,1430.2574,1399.1937,1318.0141,1303.6852,1256.168,1121.5681,1246.4071,1599.4007,1708.026,1696.572
GBR,BM,ELC,1545.1477,1534.0511,1567.0244,1608.9191,1671.6172,1687.2802,1632.1631,1678.7353,1748.591,1902.8485,1999.8581,2173.9998
USA,BM,ELC,858.0595,835.6614,800.9105,808.9794,826.6988,803.5914,776.7143,773.1515,759.2059,734.3699,709.2693,737.5388
RAS,BM,GDO,989.650244476326,1045.64076757532,1150.48046743185,1118.38021011478,1085.56842367288,909.493747560976,770.250872596844,822.551280918221,896.977237302726,879.785538593974,796.947646628407,854.22497733142
RWO,BM,GDO,1171.0159084127,1295.22247968254,1343.12129857143,1302.68715904762,1266.7695484127,1123.94136492063,1032.21950079365,1114.67678079365,1245.91645571429,1222.2119552381,1115.07742174603,1251.86302126984
REU,BM,GDO,1516.32110816327,1649.90117244898,1784.20449183674,1660.79851836735,1587.83170612245,1436.5011755102,1324.02606836735,1417.82296938776,1457.39832959184,1470.06925204082,1308.9989,1361.87344591837
REP,BM,GDO,501.106178064041,517.516591479573,512.327685535517,527.223606036069,588.49079381671,523.5918951417,488.689393743099,496.425809698197,532.449494552816,524.442968568274,455.666119488406,554.748673463379
RAF,BM,GDO,1271.47962612463,1344.89655294439,1336.3731580859,1275.18907593595,1237.87603472691,1135.88509845457,1042.86707144985,1074.32232229518,1097.48710669563,1086.27623479891,1049.65691684707,1052.91161003476
