dummy,dummy,dummy,2015,2016,2017,2018
ITA,PC,GSL,3.96903890086428,3.85107167233899,3.62294474809392,3.64071107910145
JPN,PC,GSL,10.6528593851878,10.140554656549,9.93603246996194,9.74547516003251
KOR,PC,GSL,0.417659644962671,0.562655900215324,0.758090326545654,0.758539211544091
LVA,PC,GSL,0.0279758420990427,0.0275673388570732,0.0249351209253417,0.0239946598262695
LTU,PC,GSL,0.0169702957639417,0.0152701844907755,0.0126755827099319,0.0130512182444286
LUX,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
MLT,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
MEX,PC,GSL,23.9149260946295,24.7741357668066,24.0046732856797,23.5332403261828
MAR,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
NLD,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
NGA,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
POL,PC,GSL,0.442378773492293,0.417483130689264,0.396174527590582,0.367958168615791
PRT,PC,GSL,0.184831292937007,0.19480293352935,0.193020892211211,0.208754142360364
ROU,PC,GSL,0.509622161003021,0.477828238513962,0.434584810174211,0.43221419631055
RUS,PC,GSL,0.342912693610067,0.329365927476881,0.304994252762355,0.273250355811928
SAU,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
SVK,PC,GSL,0.0784774882066352,0.0848461094551091,0.0874248552813234,0.0851376126610725
SVN,PC,GSL,0.0118061263423323,0.0116925837630307,0.0109637663389134,0.00977441646792469
ZAF,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
ESP,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
SWE,PC,GSL,0.531041770805082,0.498405911450382,0.488525222533586,0.436349022550452
TUN,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
TUR,PC,GSL,0.585902443550697,0.590074302194991,0.62455167447057,0.635306836305284
GBR,PC,GSL,2.73644403421247,2.36024802290561,2.54393257418992,2.2907512276744
USA,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
RAS,PC,NGS,3.48425274684902,3.49813063375454,3.51294875785928,3.60876967787615
RWO,PC,NGS,0.872720676491999,0.817054867685245,0.80262758794812,0.850090795980326
