* description: readTechCosts; EnergyCosts
* unit: 1
* origin: calcOutput(type = "EnergyCosts", aggregate = FALSE, file = "new_fuels_energy.csv", subtype = "new_fuels_energy") (madrat 3.3.6 | mrprom 0.1.0)
* creation date: Wed Aug  2 15:37:20 2023
dummy,Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_centralised_-_Large_scale_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_centralised_-_Large_scale_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_centralised_-_Large_scale_with_CCU_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_centralised_-_Large_scale_with_CCU_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_de-centralised_-_Medium_scale_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_natural_gas_steam_reforming_de-centralised_-_Medium_scale_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_PEM_centralised_-_Large_scale_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_PEM_centralised_-_Large_scale_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_PEM_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_PEM_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_-_Alkaline_centralised_large_scale_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_-_Alkaline_centralised_large_scale_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_Alkaline_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_low_temperature_water_electrolysis_Alkaline_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_high_temperature_water_electrolysis_SOEC_centralised_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_high_temperature_water_electrolysis_SOEC_centralised_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Hydrogen_from_high_temperature_water_electrolysis_SOEC_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Fixed_O&M_costs(EUR/kW-output).Hydrogen_from_high_temperature_water_electrolysis_SOEC_de-centralised_at_a_refuelling_station_(per_1_kW_or_1_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Methanation_(per_1_kW_or_1_MWh_CH4_HHV),Fixed_O&M_costs(EUR/kW-output).Methanation_(per_1_kW_or_1_MWh_CH4_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).CH4_Liquefaction_plant_(per_1_kW_or_1_MWh_gas_HHV),Fixed_O&M_costs(EUR/kW-output).CH4_Liquefaction_plant_(per_1_kW_or_1_MWh_gas_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Gas_Liquefaction_plant_(per_1_kW_or_1_MWh_gas_HHV),Fixed_O&M_costs(EUR/kW-output).Gas_Liquefaction_plant_(per_1_kW_or_1_MWh_gas_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Regasification_Plant_including_LNG_storage_(per_1_kW_or_1_MWh_gas_HHV),Fixed_O&M_costs(EUR/kW-output).Regasification_Plant_including_LNG_storage_(per_1_kW_or_1_MWh_gas_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Power_to_liquid_via_the_methanol_route_(per_1_kW_or_1_MWh_CH4_HHV),Fixed_O&M_costs(EUR/kW-output).Power_to_liquid_via_the_methanol_route_(per_1_kW_or_1_MWh_CH4_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Power_to_liquid_via_the_Fischer_Tropsch_route_(per_1_kW_or_1_MWh_CH4_HHV),Fixed_O&M_costs(EUR/kW-output).Power_to_liquid_via_the_Fischer_Tropsch_route_(per_1_kW_or_1_MWh_CH4_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Power_to_liquid_via_High_temperature_co-electrolysis_and_Fischer_Tropsch_(per_1_kW_or_1_MWh_CH4_HHV),Fixed_O&M_costs(EUR/kW-output).Power_to_liquid_via_High_temperature_co-electrolysis_and_Fischer_Tropsch_(per_1_kW_or_1_MWh_CH4_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Capture_CO2_from_air_(Absorption_technology)_(per_1_tCO2),Fixed_O&M_costs(EUR/kW-output).Capture_CO2_from_air_(Absorption_technology)_(per_1_tCO2),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Capture_CO2_from_air_(Adsorption_technology)_(per_1_tCO2),Fixed_O&M_costs(EUR/kW-output).Capture_CO2_from_air_(Adsorption_technology)_(per_1_tCO2),Investment_cost_per_unit_of_capacity_(EUR/kW-output).CO2_Liquefaction_plant_(per_1_ton_CO2),Fixed_O&M_costs(EUR/kW-output).CO2_Liquefaction_plant_(per_1_ton_CO2),Investment_cost_per_unit_of_capacity_(EUR/kW-output).NGS_Transmission_Network_(per_MWh_)_(per_MWh_),Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).NGS_Transmission_Network_(per_MWh_)_(per_MWh_),Variable_Cost_EUR/MWh.NGS_Transmission_Network_(per_MWh_)_(per_MWh_),Investment_cost_per_unit_of_capacity_(EUR/kW-output).NGS_Distribution_Network_(per_MWh),Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).NGS_Distribution_Network_(per_MWh),Variable_Cost_EUR/MWh.NGS_Distribution_Network_(per_MWh),Investment_cost_per_unit_of_capacity_(EUR/kW-output).H2_pipeline_60bar_(per_MWh_H2_HHV),Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).H2_pipeline_60bar_(per_MWh_H2_HHV),Variable_Cost_EUR/MWh.H2_pipeline_60bar_(per_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/kW-output).H2_pipeline_10_bar_(per_MWh_H2_HHV),Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).H2_pipeline_10_bar_(per_MWh_H2_HHV),Variable_Cost_EUR/MWh.H2_pipeline_10_bar_(per_MWh_H2_HHV),Investment_cost_per_unit_of_capacity_(EUR/ton_CO2_per_year).CO2_Transmission_network_(per_tCO2),Fixed_O&M_cost_per_unit_of_capacity(EUR/ton_CO2_per_year).CO2_Transmission_network_(per_tCO2),Variable_Cost_EUR/kWh.CO2_Transmission_network_(per_tCO2),Investment_cost_per_unit_of_capacity_(EUR/kW-output).Road_transport_of_liquid_H2,Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).Road_transport_of_liquid_H2,Variable_Cost_EUR/kWh.Road_transport_of_liquid_H2,Investment_cost_per_unit_of_capacity_(EUR/kW-output).Road_transport_of_gaseous_H2,Fixed_O&M_cost_per_unit_of_capacity(EUR/kW-output).Road_transport_of_gaseous_H2,Variable_Cost_EUR/kWh.Road_transport_of_gaseous_H2,Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Compressed_Air_Energy_Storage_(per_1_kW),Fixed_O&M_costs(EUR/kW).Compressed_Air_Energy_Storage_(per_1_kW),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Compressed_Air_Energy_Storage_(per_1_kW),Efficiency_(%).Compressed_Air_Energy_Storage_(per_1_kW),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Flywheel_(per1_MWh_electricity),Fixed_O&M_costs(EUR/kW).Flywheel_(per1_MWh_electricity),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Flywheel_(per1_MWh_electricity),Efficiency_(%).Flywheel_(per1_MWh_electricity),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Large-scale_batteries_(per_1_MWh_electricity),Fixed_O&M_costs(EUR/kW).Large-scale_batteries_(per_1_MWh_electricity),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Large-scale_batteries_(per_1_MWh_electricity),Efficiency_(%).Large-scale_batteries_(per_1_MWh_electricity),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Small-scale_batteries_(per_1_MWh_electricity),Fixed_O&M_costs(EUR/kW).Small-scale_batteries_(per_1_MWh_electricity),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Small-scale_batteries_(per_1_MWh_electricity),Efficiency_(%).Small-scale_batteries_(per_1_MWh_electricity),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Pumping_(per_1_kW),Fixed_O&M_costs(EUR/kW).Pumping_(per_1_kW),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Pumping_(per_1_kW),Efficiency_(%).Pumping_(per_1_kW),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Underground_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Fixed_O&M_costs(EUR/kW).Underground_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Underground_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Efficiency_(%).Underground_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Pressurised_tanks_-_Hydrogen_storage_(per_1_kW_or_1_MWh_H2),Fixed_O&M_costs(EUR/kW).Pressurised_tanks_-_Hydrogen_storage_(per_1_kW_or_1_MWh_H2),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Pressurised_tanks_-_Hydrogen_storage_(per_1_kW_or_1_MWh_H2),Efficiency_(%).Pressurised_tanks_-_Hydrogen_storage_(per_1_kW_or_1_MWh_H2),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Liquid_Hydrogen_Storage_-_Cryogenic_Storage_(per_1_kW_or_1_MWh_H2),Fixed_O&M_costs(EUR/kW).Liquid_Hydrogen_Storage_-_Cryogenic_Storage_(per_1_kW_or_1_MWh_H2),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Liquid_Hydrogen_Storage_-_Cryogenic_Storage_(per_1_kW_or_1_MWh_H2),Efficiency_(%).Liquid_Hydrogen_Storage_-_Cryogenic_Storage_(per_1_kW_or_1_MWh_H2),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Metal_Hydrides_-_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Fixed_O&M_costs(EUR/kW).Metal_Hydrides_-_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Metal_Hydrides_-_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Efficiency_(%).Metal_Hydrides_-_Hydrogen_Storage_(per_1_kW_or_1_MWh_H2),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Thermal_Storage_Technology_(per_1_kW_or_1_MWh_Heat),Fixed_O&M_costs(EUR/kW).Thermal_Storage_Technology_(per_1_kW_or_1_MWh_Heat),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Thermal_Storage_Technology_(per_1_kW_or_1_MWh_Heat),Efficiency_(%).Thermal_Storage_Technology_(per_1_kW_or_1_MWh_Heat),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).LNG_Storage_Gas_(per_1_kW_or_1_MWh_Gas),Fixed_O&M_costs(EUR/kW).LNG_Storage_Gas_(per_1_kW_or_1_MWh_Gas),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).LNG_Storage_Gas_(per_1_kW_or_1_MWh_Gas),Efficiency_(%).LNG_Storage_Gas_(per_1_kW_or_1_MWh_Gas),Investment_cost_per_unit_of_energy_stored_(EUR/MWh).Underground_NGS_Storage_(per_1_kW_or_1_MWh_Gas),Fixed_O&M_costs(EUR/kW).Underground_NGS_Storage_(per_1_kW_or_1_MWh_Gas),Variable_fuel_and_emissions_cost_per_unit_of_stored_energy_(EUR/MWh).Underground_NGS_Storage_(per_1_kW_or_1_MWh_Gas),Efficiency_(%).Underground_NGS_Storage_(per_1_kW_or_1_MWh_Gas),Investment_cost_per_ton_CO2_stored_(EUR/tCO2).Liquid_CO2_storage_tank,Fixed_O&M_costs_per_ton_CO2(EUR/tCO2).Liquid_CO2_storage_tank,EUR/tCO2_liquefaction_cost.Liquid_CO2_storage_tank,Efficiency_(%).Liquid_CO2_storage_tank
y2020,550,NA,900,NA,1978,NA,1610,NA,2530,NA,1265,NA,1897.5,NA,3332.08823529412,NA,5331.34117647059,NA,1200,NA,450,NA,200,NA,175,NA,1000,NA,1556,NA,2332,NA,769.876819708847,NA,1259.79843225084,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129550,20.9,0,65,1607100,52.5,0,85,3e+05,26.4,0,94,175000,16.9,0,94,1000,22.5,0,83,5340,0,0.5792,90,6000,0,0.6,88,8455,0,0.7,75,12700,0,0.5,95,1e+05,100,0,80,135,0,0.6,90,33,0,0.6,88,NA,NA,NA,NA
y2030,500,20,850,34,1598,31,740,15,1175,34,600,14,715,17,1421.39215686275,36.18,2920.89411764706,63.315,733,22,450,18,200,20,175,5,720,31,1143,40,1511,106,648.044461034383,22.6815561362034,894.301356227448,31.3005474679607,174,3,126,5,0.7,552,22,3.2,173,7,1,723,29,4.1,23,1.3,1,68,7,0.3,324,58,3.6,123343.666666667,20.9,0,68,1515400,47.3,0,85,190000,15,0,94,1e+05,6.3,0,94,900,20.3,0,83,3936,0,0.727,90,4800,0,0.7,88,6800,0,0.9,75,11430,0,0.7,95,90000,97.2,0,80,135,0,0.7,90,33,0,0.7,88,1000,15,3.18,95
y2050,450,18,800,32,1450,28,200,10,350,18,180,9,300,15,600,39,1100,48.75,263,9,450,18,200,20,175,5,364,18,673,24,965,68,518.290592438013,18.1401707353305,495,17.325,174,3,126,5,0.7,552,22,3.2,166,7,1,723,29,4.1,23,1.3,1,55,7,0.3,284,58,3.6,110931,20.9,0,70,1332000,46.6,0,85,150000,13.1,0,94,65000,5.5,0,94,880,20,0,83,3820.61920748068,0,0.816666666666667,90,4659,0,0.8,88,4000,0,1,75,11271,0,0.8,95,88745,95.8,0,80,135,0,0.8,90,33,0,0.8,88,1000,15,3.18,95
y2015,NA,22,NA,36,NA,57,NA,49,NA,77,NA,28,NA,41,NA,55.825,NA,94.9025,NA,42,NA,18,NA,20,NA,5,NA,50,NA,54,NA,163,NA,26.9456886898096,NA,44.0929451287794,NA,3,126,5,0.7,552,22,3.2,178,7,1,723,29,4.1,23,1.3,1,74,7,0.3,344,58,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,15,3.18,95
