* description: Enerdata; fuel price in all sectors
* unit: various
* origin: calcOutput(type = "IFuelPrice", aggregate = FALSE, file = "IFuelPrice.csv") (madrat 3.3.6 | mrprom 0.1.0)
* creation date: Wed Sep 13 16:39:53 2023
dummy,dummy,BM.$15/toe.ELC,BM.$15/toe.GDO,BM.$15/toe.HCL,BM.$15/toe.NGS,BM.$15/toe.OLQ,BM.$15/toe.RFO,BU.$15/toe.ELC,BU.$15/toe.GDO,BU.$15/toe.HCL,BU.$15/toe.NGS,BU.$15/toe.OLQ,BU.$15/toe.RFO,CH.$15/toe.ELC,CH.$15/toe.GDO,CH.$15/toe.HCL,CH.$15/toe.NGS,CH.$15/toe.OLQ,CH.$15/toe.RFO,EN.$15/toe.ELC,EN.$15/toe.GDO,EN.$15/toe.HCL,EN.$15/toe.NGS,EN.$15/toe.OLQ,EN.$15/toe.RFO,FD.$15/toe.ELC,FD.$15/toe.GDO,FD.$15/toe.HCL,FD.$15/toe.NGS,FD.$15/toe.OLQ,FD.$15/toe.RFO,HOU.$15/toe.ELC,HOU.$15/toe.GDO,HOU.$15/toe.HCL,HOU.$15/toe.NGS,HOU.$15/toe.OLQ,HOU.$15/toe.RFO,IS.$15/toe.ELC,IS.$15/toe.GDO,IS.$15/toe.HCL,IS.$15/toe.NGS,IS.$15/toe.OLQ,IS.$15/toe.RFO,NF.$15/toe.ELC,NF.$15/toe.GDO,NF.$15/toe.HCL,NF.$15/toe.NGS,NF.$15/toe.OLQ,NF.$15/toe.RFO,OE.$15/toe.ELC,OE.$15/toe.GDO,OE.$15/toe.HCL,OE.$15/toe.NGS,OE.$15/toe.OLQ,OE.$15/toe.RFO,OI.$15/toe.ELC,OI.$15/toe.GDO,OI.$15/toe.HCL,OI.$15/toe.NGS,OI.$15/toe.OLQ,OI.$15/toe.RFO,PCH.$15/toe.ELC,PCH.$15/toe.GDO,PCH.$15/toe.HCL,PCH.$15/toe.NGS,PCH.$15/toe.OLQ,PCH.$15/toe.RFO,PP.$15/toe.ELC,PP.$15/toe.GDO,PP.$15/toe.HCL,PP.$15/toe.NGS,PP.$15/toe.OLQ,PP.$15/toe.RFO,TX.$15/toe.ELC,TX.$15/toe.GDO,TX.$15/toe.HCL,TX.$15/toe.NGS,TX.$15/toe.OLQ,TX.$15/toe.RFO,AG.$15/toe.ELC,AG.$15/toe.GDO,AG.$15/toe.HCL,AG.$15/toe.NGS,AG.$15/toe.OLQ,AG.$15/toe.RFO,SE.$15/toe.ELC,SE.$15/toe.GDO,SE.$15/toe.HCL,SE.$15/toe.NGS,SE.$15/toe.OLQ,SE.$15/toe.RFO,NEN.$15/toe.ELC,NEN.$15/toe.GDO,NEN.$15/toe.HCL,NEN.$15/toe.NGS,NEN.$15/toe.OLQ,NEN.$15/toe.RFO
y2010,ABW,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,NaN,1058.67059655172,NaN,NaN,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571
y2010,AFG,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,NaN,1174.7654,NaN,NaN,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,2684.16348888889,2349.5308,275.6746,1228.838,1550.2442,1550.2442,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221,2684.16348888889,2349.5308,275.6746,1228.838,1550.2442,1550.2442,2684.16348888889,2349.5308,275.6746,1228.838,1550.2442,1550.2442,1342.08174444444,1174.7654,137.8373,614.419,775.1221,775.1221
y2010,AGO,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,NaN,617.9926,NaN,NaN,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,2808.15383333333,1235.9852,286.784561417749,777.2598,366.7058,366.7058,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529,2808.15383333333,1235.9852,286.784561417749,777.2598,366.7058,366.7058,2808.15383333333,1235.9852,286.784561417749,777.2598,366.7058,366.7058,1404.07691666667,617.9926,143.392280708874,388.6299,183.3529,183.3529
y2010,AIA,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,NaN,1058.67059655172,NaN,NaN,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,4904.65544285714,2117.34119310345,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,2452.32772142857,1058.67059655172,103.54575,520.192185714286,677.643771428571,677.643771428571
y2010,ALA,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,NaN,1554.92793214286,NaN,NaN,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,2730.05186428571,3109.85586428571,463.488757142857,854.2782,1092.94815384615,1092.94815384615,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077,2730.05186428571,3109.85586428571,463.488757142857,854.2782,1092.94815384615,1092.94815384615,2730.05186428571,3109.85586428571,463.488757142857,854.2782,1092.94815384615,1092.94815384615,1365.02593214286,1554.92793214286,231.744378571429,427.1391,546.474076923077,546.474076923077
y2010,ALB,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,NaN,1521.0463,NaN,NaN,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,2036.66776,3042.0926,340.436266666667,985.91935,1470.0628,1470.0628,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314,2036.66776,3042.0926,340.436266666667,985.91935,1470.0628,1470.0628,2036.66776,3042.0926,340.436266666667,985.91935,1470.0628,1470.0628,1018.33388,1521.0463,170.218133333333,492.959675,735.0314,735.0314
y2010,AND,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,NaN,1783.36511428571,NaN,NaN,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,2036.66776,3566.73022857143,340.436266666667,985.91935,1470.0628,1470.0628,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314,2036.66776,3566.73022857143,340.436266666667,985.91935,1470.0628,1470.0628,2036.66776,3566.73022857143,340.436266666667,985.91935,1470.0628,1470.0628,1018.33388,1783.36511428571,170.218133333333,492.959675,735.0314,735.0314
y2010,ARE,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,NaN,903.7989,NaN,NaN,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,1477.64445,1807.5978,286.784561417749,176.995,379.0038,379.0038,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019,1477.64445,1807.5978,286.784561417749,176.995,379.0038,379.0038,1477.64445,1807.5978,286.784561417749,176.995,379.0038,379.0038,738.822225,903.7989,143.392280708874,88.4975,189.5019,189.5019
y2010,ARG,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,NaN,896.3835,NaN,NaN,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,293.1238,1792.767,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571,293.1238,1792.767,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,293.1238,1792.767,207.0915,1040.38437142857,1355.28754285714,1355.28754285714,146.5619,896.3835,103.54575,520.192185714286,677.643771428571,677.643771428571
y2010,ARM,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,NaN,1041.0692,NaN,NaN,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,1165.83796,2082.1384,76.0769,296.53855,545.8825,545.8825,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125,1165.83796,2082.1384,76.0769,296.53855,545.8825,545.8825,1165.83796,2082.1384,76.0769,296.53855,545.8825,545.8825,582.91898,1041.0692,38.03845,148.269275,272.94125,272.94125
