* description: readTechCosts; TransportCosts
* unit: Euro'15
*       Million Euro'15
* origin: calcOutput(type = "TransportCosts", aggregate = FALSE, file = "iTransportCosts.csv") (madrat 3.3.6 | mrprom 0.1.0)
* creation date: Thu Aug 24 12:26:22 2023
dummy,Capital cost of 16-32t Hydrogen fuel cell truck in Euro'15.HGVs>16t,Capital cost of 16-32t LNG truck in Euro'15.HGVs>16t,Capital cost of 16-32t LPG truck in Euro'15.HGVs>16t,Capital cost of 16-32t battery electric truck in Euro'15.HGVs>16t,Capital cost of 16-32t diesel hybrid truck in Euro'15.HGVs>16t,Capital cost of 16-32t diesel truck in Euro'15.HGVs>16t,Capital cost of 3_5-7_5t  battery electric truck in Euro'15.HGVs<16t,Capital cost of 3_5-7_5t CNG truck in Euro'15.HGVs<16t,Capital cost of 3_5-7_5t Hydrogen fuel cell truck in Euro'15.HGVs<16t,Capital cost of 3_5-7_5t LPG truck in Euro'15.HGVs<16t,Capital cost of 3_5-7_5t diesel hybrid truck in Euro'15.HGVs<16t,Capital cost of 3_5-7_5t diesel truck in Euro'15.HGVs<16t,Capital cost of 4-stroke MC 250-750 cc motorcycle in Euro'15.2wheelers,Capital cost of 4-stroke MC 50-250 cc motorcycle in Euro'15.2wheelers,Capital cost of 4-stroke MC >750 cc motorcycle in Euro'15.2wheelers,Capital cost of 7_5-16t Hydrogen fuel cell truck in Euro'15.HGVs<16t,Capital cost of 7_5-16t LNG truck in Euro'15.HGVs<16t,Capital cost of 7_5-16t LPG truck in Euro'15.HGVs<16t,Capital cost of 7_5-16t battery electric truck in Euro'15.HGVs<16t,Capital cost of 7_5-16t diesel hybrid truck in Euro'15.HGVs<16t,Capital cost of 7_5-16t diesel truck in Euro'15.HGVs<16t,Capital cost of >32t Hydrogen fuel cell truck in Euro'15.HGVs>16t,Capital cost of >32t LNG truck in Euro'15.HGVs>16t,Capital cost of >32t LPG truck in Euro'15.HGVs>16t,Capital cost of >32t battery electric truck in Euro'15.HGVs>16t,Capital cost of >32t diesel hybrid truck in Euro'15.HGVs>16t,Capital cost of >32t diesel truck in Euro'15.HGVs>16t,Capital cost of >32t pantograph electric truck in Euro'15.HGVs>16t,Capital cost of Battery electric LCV in Euro'15.LCVs,Capital cost of Battery electric aircraft in Million Euro'15.Aviation,Capital cost of Battery electric bus in Euro'15.Bus_coach,Capital cost of Battery electric coach in Euro'15.Bus_coach,Capital cost of Battery electric freight vessel in Million Euro'15.Inland_navigation,Capital cost of Battery electric moped in Euro'15.2wheelers,Capital cost of Battery electric motorcycle (equivalent to 250-750 cc motorcycle) in Euro'15.2wheelers,Capital cost of Battery electric motorcycle (equivalent to 50-250 cc motorcycle) in Euro'15.2wheelers,Capital cost of Battery electric motorcycle (equivalent to >750 cc motorcycle) in Euro'15.2wheelers,Capital cost of Battery electric passenger vessel in Million Euro'15.Inland_navigation,Capital cost of CNG bus in Euro'15.Bus_coach,Capital cost of Conventional aircraft in Million Euro'15.Aviation,Capital cost of Diesel bus in Euro'15.Bus_coach,Capital cost of Diesel coach in Euro'15.Bus_coach,Capital cost of Electric  Container 1000-1999 TEU vessel in Million Euro'15.maritime,Capital cost of Electric General cargo vessel in Million Euro'15.maritime,Capital cost of Electric Tanker 10000-69999 DWT in Million Euro'15.maritime,Capital cost of Electric handymax-supra bulk carrier vessel in Million Euro'15.maritime,Capital cost of Fuel Cell  Container 1000-1999 TEU vessel in Million Euro'15.maritime,Capital cost of Fuel Cell  Tanker 10000-69999 DWT in Million Euro'15.maritime,Capital cost of Fuel Cell General cargo vessel in Million Euro'15.maritime,Capital cost of Fuel Cell handymax-supra bulk carrier vessel in Million Euro'15.maritime,Capital cost of Hybrid Aircraft in Million Euro'15.Aviation,Capital cost of Hybrid diesel bus in Euro'15.Bus_coach,Capital cost of Hybrid diesel coach in Euro'15.Bus_coach,Capital cost of Hydrogen fuel cell LCV in Euro'15.LCVs,Capital cost of Hydrogen fuel cell bus in Euro'15.Bus_coach,Capital cost of Hydrogen fuel cell coach in Euro'15.Bus_coach,Capital cost of Hydrogen fuel cell freight vessel in Million Euro'15.Inland_navigation,Capital cost of Hydrogen fuel cell passenger vessel in Million Euro'15.Inland_navigation,Capital cost of ICE CNG LCV in Euro'15.LCVs,Capital cost of ICE LPG LCV in Euro'15.LCVs,Capital cost of ICE Large size diesel car in Euro'15.Large_cars,Capital cost of ICE Large size gasoline car in Euro'15.Large_cars,Capital cost of ICE Large size hybrid diesel car in Euro'15.Large_cars,Capital cost of ICE Large size hybrid gasoline car in Euro'15.Large_cars,Capital cost of ICE Large size plug-in hybrid diesel car in Euro'15.Large_cars,Capital cost of ICE Large size plug-in hybrid gasoline car in Euro'15.Large_cars,Capital cost of ICE Small size diesel car in Euro'15.Small_cars,Capital cost of ICE Small size gasoline car in Euro'15.Small_cars,Capital cost of ICE Small size hybrid diesel car in Euro'15.Small_cars,Capital cost of ICE Small size hybrid gasoline car in Euro'15.Small_cars,Capital cost of ICE Small size plug-in hybrid diesel car in Euro'15.Small_cars,Capital cost of ICE Small size plug-in hybrid gasoline car in Euro'15.Small_cars,Capital cost of ICE diesel LCV in Euro'15.LCVs,Capital cost of ICE gasoline LCV in Euro'15.LCVs,Capital cost of ICE gasoline hybrid LCV in Euro'15.LCVs,Capital cost of ICE gasoline plug-in hybrid LCV in Euro'15.LCVs,Capital cost of ICE hybrid diesel LCV in Euro'15.LCVs,Capital cost of ICE medium size CNG car in Euro'15.Medium_cars,Capital cost of ICE medium size E85 flex-fuel car in Euro'15.Medium_cars,Capital cost of ICE medium size LPG car in Euro'15.Medium_cars,Capital cost of ICE medium size diesel car in Euro'15.Medium_cars,Capital cost of ICE medium size gasoline car in Euro'15.Medium_cars,Capital cost of ICE medium size hybrid diesel car in Euro'15.Medium_cars,Capital cost of ICE medium size hybrid gasoline car in Euro'15.Medium_cars,Capital cost of ICE medium size plug-in hybrid diesel car in Euro'15.Medium_cars,Capital cost of ICE medium size plug-in hybrid gasoline car in Euro'15.Medium_cars,Capital cost of ICE plug-in hybrid diesel LCV in Euro'15.LCVs,Capital cost of LNG  Tanker 10000-69999 DWT in Million Euro'15.maritime,Capital cost of LNG  handymax-supra bulk carrier vessel in Million Euro'15.maritime,Capital cost of LNG Container 1000-1999 TEU vessel in Million Euro'15.maritime,Capital cost of LNG General cargo vessel in Million Euro'15.maritime,Capital cost of LNG coach in Euro'15.Bus_coach,Capital cost of LNG freight inland navigation/national maritime vessel in Million Euro'15.Inland_navigation,Capital cost of LNG passenger inland navigation/national maritime vessel in Million Euro'15.Inland_navigation,Capital cost of LPG bus in Euro'15.Bus_coach,Capital cost of LPG coach in Euro'15.Bus_coach,Capital cost of Large size battery electric car in Euro'15.Large_cars,Capital cost of Large size hydrogen fuel cell in Euro'15.Large_cars,Capital cost of Medium size battery electric car in Euro'15.Medium_cars,Capital cost of Medium size hydrogen fuel cell in Euro'15.Medium_cars,Capital cost of Moped in Euro'15.2wheelers,Capital cost of Small size battery electric car in Euro'15.Small_cars,Capital cost of Small size hydrogen fuel cell in Euro'15.Small_cars,Capital cost of diesel freight rail in Million Euro'15.Rail,Capital cost of diesel passenger rail in Million Euro'15.Rail,Capital cost of diesel/fuel oil  Container 1000-1999 TEU vessel in Million Euro'15.maritime,Capital cost of diesel/fuel oil  Tanker 10000-69999 DWT in Million Euro'15.maritime,Capital cost of diesel/fuel oil  handymax-supra bulk carrier vessel in Million Euro'15.maritime,Capital cost of diesel/fuel oil General cargo vessel in Million Euro'15.maritime,Capital cost of diesel/fuel oil freight inland navigation/national maritime vessel in Million Euro'15.Inland_navigation,Capital cost of diesel/fuel oil passenger inland navigation/national maritime vessel in Million Euro'15.Inland_navigation,Capital cost of electric freight rail in Million Euro'15.Rail,Capital cost of electric passenger rail in Million Euro'15.Rail,Capital cost of high speed passenger rail in Million Euro'15.Rail,Capital cost of hydrogen fuel cell Aircraft in Million Euro'15.Aviation,Capital cost of hydrogen fuel cell freight rail in Million Euro'15.Rail,Capital cost of hydrogen fuel cell passenger rail in Million Euro'15.Rail
y2020,354280.308553072,135102.073358062,116687.619252208,194972.564441614,117809.007026778,105926.499305968,110404.816125858,80206.1563269976,214118.833991698,70830.9896959711,78723.8136345898,64374.3177282271,6040.16590734703,2548.39995873036,11100.6952961463,289239.360061222,98717.5518945274,87998.5936057443,144373.905423467,88920.6651098532,79927.7536460642,456066.468676769,184053.947327963,164236.931165496,249809.101532709,159779.657264165,149171.36324076,NA,22060.8898906779,NA,414282.581831388,432403.149196547,NA,4598.92933933434,9005.08390897976,5018.464761349,14416.9866551673,NA,301227.803779743,111.115662125928,277035.545225282,295911.463573696,NA,NA,NA,NA,NA,NA,NA,NA,NA,293729.977982756,321832.916726531,45848.1660768927,598114.464021425,645414.917881523,NA,NA,19969.9959792433,19399.6146612433,43323.5570028638,37317.4611846275,46595.7289722834,40649.7289722834,51440.7459313854,46420.5894379047,17256.9266180255,14411.6409453436,19066.91,16485.6,23212.7756758373,20812.7133591781,22474.2283094357,17878.5978132433,20504.4559655839,25855.4162729033,24678.6668661833,21459.3220901274,19851.2688184151,20891.7784901274,22692.9991331875,19378.3288901274,25058.7494468874,21857.3437291488,29170.6892983358,26539.4776993029,29234.4869036876,36.1159342392602,32.0549273903368,24.0097388011775,21.0013353340965,322213.921573696,8.63869692995413,8.74330036127841,294253.337139267,314853.623173696,42701.4587892046,79718.0909809694,23157.6575819394,51066.9838694536,1805.25285406622,18953.2762099008,38790.2507063985,9.15169121774217,8.7076566191047,21.5084888011775,29.9284342392602,25.1799273903368,17.0263353340965,8.63869692995413,7.68293636127841,12.0103840892873,11.9003066289429,27.7100479955559,NA,15.1608998553899,13.7917668147899
y2030,206770.852218096,135107.813637252,114815.869252208,136440.612585696,113354.579026778,104054.749305968,76126.9056105161,80206.1563269976,125613.160190713,70830.9896959711,73950.9194443063,64374.3177282271,6040.16590734703,2548.39995873036,11100.6952961463,165331.416739842,98717.5518945274,87998.5936057443,95780.7302979094,85723.7072151163,79927.7536460642,273154.742821399,184833.369092153,161624.646953091,186269.161712812,155191.257264165,146559.079028355,164730.198153894,18978.0198753824,191.636992203033,303169.459903534,321623.420926528,15.8896157630356,3005.76958807794,7694.21261537352,3932.02158644446,12950.2883690462,9.08114584560639,301227.803779743,110.584463707242,277035.545225282,295911.463573696,36.1702762393391,33.024771048976,45.9206043823094,41.1789377156427,33.0264752371775,42.4935103512602,29.5914114460965,37.7450035023368,121.253155865646,293729.977982756,321832.916726531,33512.2985132785,388321.426107765,417379.007105806,16.5123130824044,12.5493437852784,19508.8247701105,18938.4434521105,42722.7854011568,37171.8202183699,45231.9289722834,39285.9289722834,46706.7080184522,41366.3503226909,16675.8406150149,14288.2900213222,18176.84,15586.91,19821.2097898767,17365.3568320155,21602.1923061418,17417.4266041105,19138.7491883351,20946.0136101116,23366.0686001195,21265.946731911,19657.8934601988,20698.403131911,22131.4789656656,19184.953531911,23982.6880941969,20782.1308961293,25403.4529654573,22587.5779404125,24721.6233975056,36.1159342392602,32.0549273903368,24.0097388011775,21.0013353340965,322213.921573696,8.20389932240437,8.74330036127841,294253.337139267,314853.623173696,38806.664437532,61463.5157484667,20751.720805376,35844.8446280299,1805.25285406622,15896.260500608,26275.8323091074,9.15169121774217,8.7076566191047,21.5084888011775,29.9284342392602,25.1799273903368,17.0263353340965,8.20389932240437,7.68293636127841,12.0103840892873,11.9003066289429,27.7100479955559,144.614878177242,12.8322959619936,11.9288837000729
y2040,160711.703174247,135071.761597901,114779.817212857,126471.277210759,111678.234096787,104018.697266617,72388.4048449149,80206.1563269976,97977.6707644034,70830.9896959711,72154.7254150688,64374.3177282271,6040.16590734703,2548.39995873036,11100.6952961463,126641.731543009,98717.5518945274,87998.5936057443,90629.9070208589,84520.5888443088,79927.7536460642,216041.398007026,184655.836842402,161447.114703341,173807.492494141,153495.811639329,146381.546778605,160787.990178194,18465.8673516113,160.070692082781,289801.053326816,308656.066547112,13.4231445074681,2743.99155568645,7025.25765030914,3377.5952597276,12201.8128279785,7.86751224122225,301227.803779743,110.584463707242,277035.545225282,295911.463573696,32.3571578582149,28.8650055422951,41.7608388756285,37.0191722089618,29.9978791939504,39.1895873950125,26.2874884898487,34.4410805460891,119.053692296223,293729.977982756,321832.916726531,27771.8876812487,330842.322103657,354901.720144819,13.7590439521979,10.0317628477816,19508.8247701105,18938.4434521105,42722.7854011568,37171.8202183699,45231.9289722834,39285.9289722834,45580.1340914831,40062.051264038,16675.8406150149,14288.2900213222,18176.84,15586.91,18883.5786556431,16391.8817697786,21602.1923061418,17417.4266041105,19138.7491883351,19751.4795793658,23366.0686001195,21265.946731911,19657.8934601988,20698.403131911,22131.4789656656,19184.953531911,23982.6880941969,20782.1308961293,24438.8799330837,21510.7791581879,23657.1536371324,36.1159342392602,32.0549273903368,24.0097388011775,21.0013353340965,322213.921573696,8.20389932240437,8.74330036127841,294253.337139267,314853.623173696,38236.1823989956,52764.0624504946,20217.5262772825,29881.1465974715,1805.25285406622,15352.1568281874,21981.4594899507,9.15169121774217,8.7076566191047,21.5084888011775,29.9284342392602,25.1799273903368,17.0263353340965,8.20389932240437,7.68293636127841,12.0103840892873,11.9003066289429,27.7100479955559,135.666753504071,11.8686517664214,11.1579683436151
y2050,144829.284915888,135043.437741987,114751.493356943,122837.617398102,110389.466892622,103990.373410703,71025.7824151683,80206.1563269976,88448.219809388,70830.9896959711,70773.8187079937,64374.3177282271,6040.16590734703,2548.39995873036,11100.6952961463,113300.500205988,98717.5518945274,87998.5936057443,88752.5161176525,83595.636305435,79927.7536460642,196347.199366661,184513.18293414,161304.460795078,169265.417728319,152192.359898198,146238.892870342,158686.584347121,18288.5087647105,155.151973642423,284257.075106368,303278.407673277,12.6860178445458,2561.52116348593,6830.50196788507,3216.18278317439,11983.9059846316,7.50480714713661,301227.803779743,110.584463707242,277035.545225282,295911.463573696,31.5463185290004,27.9804535467882,40.8762868801216,36.1346202134549,29.0285501011317,38.1321374755739,25.2300385704102,33.3836306266505,119.053692296223,293729.977982756,321832.916726531,26358.6946408287,315835.594304073,338590.059493097,12.8778356859991,9.45791517679782,19508.8247701105,18938.4434521105,42722.7854011568,37171.8202183699,45231.9289722834,39285.9289722834,45251.5623354427,39681.6449526152,16675.8406150149,14288.2900213222,18176.84,15586.91,18610.1131502571,16107.9621769284,21602.1923061418,17417.4266041105,19138.7491883351,19403.0868687444,23366.0686001195,21265.946731911,19657.8934601988,20698.403131911,22131.4789656656,19184.953531911,23982.6880941969,20782.1308961293,24157.55666837,21196.7246089853,23346.6949179619,36.1159342392602,32.0549273903368,24.0097388011775,21.0013353340965,322213.921573696,8.20389932240437,8.74330036127841,294253.337139267,314853.623173696,38038.6242820071,50622.4026954895,20032.534537058,28412.9839870662,1805.25285406622,15163.7335480335,20924.2567986138,9.15169121774217,8.7076566191047,21.5084888011775,29.9284342392602,25.1799273903368,17.0263353340965,8.20389932240437,7.68293636127841,12.0103840892873,11.9003066289429,27.7100479955559,132.802826638925,11.5602288732518,10.9112300290795
y2015,NA,NA,114810.128973018,NA,NA,104049.009026778,NA,79811.8928746926,NA,70436.7262436661,NA,63980.0542759221,6006.1537284368,2532.96733489852,11061.5651294592,NA,97834.8667075987,87115.9084188155,NA,NA,79045.0684591355,NA,NA,160845.225188901,NA,NA,145779.657264165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300008.80878602,109.132559812093,275816.550231559,295091.098544713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19499.3766980185,18928.9953800185,42530.904474211,37057.8096636581,NA,NA,NA,NA,16512.1601186242,14228.2705540072,NA,NA,NA,NA,21231.3607830263,17407.9785320185,NA,NA,NA,21195.1012717123,19587.048,20627.5576717123,21914.2647910521,19114.1080717123,NA,NA,NA,NA,NA,36.1041666666667,32.05,24.00125,20.9958333333333,321393.556544713,10.553001,7.51561465406382,293034.342145544,314033.258144713,NA,NA,NA,NA,1789.17324177336,NA,NA,8.8007828121539,8.51985777210084,21.5,29.9166666666667,25.175,17.0208333333333,7.015484,6.45525065406382,11.5840303764976,11.6296058589177,27.1827732017803,NA,NA,NA
